phase,topic,theme_group,reviewer_one_liner,research_grant_pitch,award_or_prize_pitch,activity_grant_pitch,loan_or_finance_pitch,budget_template_key
2,感覚知覚デコーディング,decoding,感覚知覚デコーディング: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「ERP/P300/SSVEP による感覚知覚 decoding の再現性評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はP300 latencyを中心とし、ERP/P300/SSVEP をまたぐ知覚課題で latency、amplitude、classification accuracy を比較し、知覚更新や attention proxy の再現性を調べる。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開ERP/SSVEP EEGにおける刺激条件判別と条件間頑健性の評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。P300 latencyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開ERP/SSVEP EEGにおける刺激条件判別と条件間頑健性の評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開ERP/SSVEP EEGにおける刺激条件判別と条件間頑健性の評価」を実装前の成立条件評価として使う。公開EEGでP300 latencyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
2,言語/意味デコーディング,decoding,言語/意味デコーディング: 公開EEGの被験者外・データセット外性能を benchmark として示す実装寄りテーマです。,本申請では「imagined speech EEG decoding の成立条件に関する比較研究」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はimagined speech classificationを中心とし、imagined speech、semantic congruency、N400 系公開EEGを用いて、言語ラベル定義と課題構造の差が decoding 成立性へ与える影響を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開言語課題EEGにおける語彙カテゴリ・意味関連性指標の判別可能性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。imagined speech classificationを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開言語課題EEGにおける語彙カテゴリ・意味関連性指標の判別可能性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、比較表、再現手順、ベースライン実装メモを共有し、共同研究の入口を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開言語課題EEGにおける語彙カテゴリ・意味関連性指標の判別可能性評価」を実装前の成立条件評価として使う。公開EEGでimagined speech classificationと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,decoding
3,感情状態の推定・分類,higher_cognition,感情状態の推定・分類: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「emotion/stress EEG の被験者間頑健性評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はmacro-F1を中心とし、valence-arousal と psychosocial stress を含む感情EEGを横断し、subject holdout と session transfer を用いて頑健性を評価する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG感情課題におけるラベル再現性とデータセット間汎化限界の評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。macro-F1を中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG感情課題におけるラベル再現性とデータセット間汎化限界の評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG感情課題におけるラベル再現性とデータセット間汎化限界の評価」を実装前の成立条件評価として使う。公開EEGでmacro-F1と劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,記憶のエンコーディング/検索,higher_cognition,記憶のエンコーディング/検索: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「working memory と retrieval EEG 指標の再現性検証」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はAUROCを中心とし、working memory と retrieval 課題を用いて、記憶関連EEG指標の再現性と longitudinal drift を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG記憶課題における符号化・検索段階ラベルと後続成績の関連評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。AUROCを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG記憶課題における符号化・検索段階ラベルと後続成績の関連評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG記憶課題における符号化・検索段階ラベルと後続成績の関連評価」を実装前の成立条件評価として使う。公開EEGでAUROCと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,注意・ワーキングメモリ,higher_cognition,注意・ワーキングメモリ: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「attention/workload EEG の汎化評価と作業負荷指標の標準化」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はmacro-F1を中心とし、workload と attention を含む公開EEGに統一的な分類設定を適用し、単チャネルを含む軽量条件での汎化性能を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG注意・ワーキングメモリ課題における負荷ラベル識別の頑健性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。macro-F1を中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG注意・ワーキングメモリ課題における負荷ラベル識別の頑健性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG注意・ワーキングメモリ課題における負荷ラベル識別の頑健性評価」を実装前の成立条件評価として使う。公開EEGでmacro-F1と劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,意思決定過程,higher_cognition,意思決定過程: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「リスク選択・報酬予測に関するEEG指標の比較研究」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はAUCを中心とし、報酬・損失・リスク選好を扱う公開課題EEGを比較し、価値評価 proxy と条件差の再現性を調べる。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG意思決定課題における選択前後指標の再現性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。AUCを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG意思決定課題における選択前後指標の再現性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG意思決定課題における選択前後指標の再現性評価」を実装前の成立条件評価として使う。公開EEGでAUCと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,社会的認知,higher_cognition,社会的認知: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「social stress と joint attention に関するEEG基礎評価」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はinter-brain synchronyを中心とし、hyperscanning や social stress を含むデータを用いて、相互作用条件での inter-brain synchrony と task差を探索的に比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG社会刺激課題における社会的手がかり反応の再現性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。inter-brain synchronyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG社会刺激課題における社会的手がかり反応の再現性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG社会刺激課題における社会的手がかり反応の再現性評価」を実装前の成立条件評価として使う。公開EEGでinter-brain synchronyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,創造性・問題解決,higher_cognition,創造性・問題解決: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「問題解決過程のEEG proxy 指標探索」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はtask accuracyを中心とし、creative insight や problem solving 課題の公開EEGを比較し、問題解決過程に関わる ERP proxy の再現性を測る。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG創造課題・問題解決課題における条件差の再現性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。task accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG創造課題・問題解決課題における条件差の再現性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG創造課題・問題解決課題における条件差の再現性評価」を実装前の成立条件評価として使う。公開EEGでtask accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
3,主観的経験の定量化,higher_cognition,主観的経験の定量化: 高次認知を強く語らず、既存ラベル条件の再現範囲を整理する比較テーマです。,本申請では「subjective rating と EEG 指標の対応づけに関する比較研究」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はsubjective ratingとの相関を中心とし、pain や awareness の主観評価を伴う公開データを用いて、self-report と EEG 指標の対応関係を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「自己報告付き公開EEG課題における主観評価と脳波特徴の対応分析」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。subjective ratingとの相関を中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「自己報告付き公開EEG課題における主観評価と脳波特徴の対応分析」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、ラベル定義と評価条件の共有資料を整え、異分野連携しやすい共通土台を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「自己報告付き公開EEG課題における主観評価と脳波特徴の対応分析」を実装前の成立条件評価として使う。公開EEGでsubjective ratingとの相関と劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,higher_cognition
4,意識の神経相関（NCC）定量化,consciousness,意識の神経相関（NCC）定量化: 理論決着を避け、状態境界と proxy 指標の比較に限定した保守的テーマです。,本申請では「覚醒・睡眠・夢・眠気境界におけるEEG proxy の定量比較」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はstate accuracyを中心とし、awake-sleep-dream-drowsy の境界を含む公開EEGを用いて、複雑性指標や遷移指標の変化を比較し、状態境界に敏感な proxy 群の再現性を評価する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGにおける意識状態ラベルと整合する候補指標の比較評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。state accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGにおける意識状態ラベルと整合する候補指標の比較評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、proxy 指標の比較表と注意点を共有し、強い理論主張を避けた議論基盤を整える。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGにおける意識状態ラベルと整合する候補指標の比較評価」を実装前の成立条件評価として使う。公開EEGでstate accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,consciousness
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,consciousness,意識状態の分類（覚醒/睡眠/麻酔/DoC）: 理論決着を避け、状態境界と proxy 指標の比較に限定した保守的テーマです。,本申請では「consciousness boundary classification の公開EEGベンチマーク」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はstate accuracyを中心とし、複数の睡眠・眠気・麻酔関連EEGデータに統一分類設定を与え、state accuracy と confusion pattern を比較する。主張はL1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「利用可能な公開EEG意識状態データにおける分類性能と分布外汎化の評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。state accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「利用可能な公開EEG意識状態データにおける分類性能と分布外汎化の評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、proxy 指標の比較表と注意点を共有し、強い理論主張を避けた議論基盤を整える。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「利用可能な公開EEG意識状態データにおける分類性能と分布外汎化の評価」を実装前の成立条件評価として使う。公開EEGでstate accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,consciousness
4,統合情報理論(IIT)の実証的検証,consciousness,統合情報理論(IIT)の実証的検証: 理論決着を避け、状態境界と proxy 指標の比較に限定した保守的テーマです。,本申請では「EEG複雑性指標を用いた IIT proxy の再計算と比較」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はcomplexity proxyを中心とし、睡眠や催眠の公開EEGから複雑性 proxy を再計算し、状態差と指標安定性を比較して理論が要求する proxy 指標の挙動比較に限定する。主張はL1-L2弱相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGで計算可能な統合・複雑性近似指標の比較評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。complexity proxyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGで計算可能な統合・複雑性近似指標の比較評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、proxy 指標の比較表と注意点を共有し、強い理論主張を避けた議論基盤を整える。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGで計算可能な統合・複雑性近似指標の比較評価」を実装前の成立条件評価として使う。公開EEGでcomplexity proxyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,consciousness
4,Global Workspace Theory の検証,consciousness,Global Workspace Theory の検証: 理論決着を避け、状態境界と proxy 指標の比較に限定した保守的テーマです。,本申請では「P300/ignition proxy に基づく Global Workspace 指標の比較研究」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はP300 amplitudeを中心とし、P300 や ignition/broadcast proxy を含む公開ERP課題を用いて、知覚更新条件での成分差と再現性を比較する。主張はL1-L2弱相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG課題における広域共有を示唆する候補パターンの再現性評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。P300 amplitudeを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG課題における広域共有を示唆する候補パターンの再現性評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、proxy 指標の比較表と注意点を共有し、強い理論主張を避けた議論基盤を整える。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG課題における広域共有を示唆する候補パターンの再現性評価」を実装前の成立条件評価として使う。公開EEGでP300 amplitudeと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,consciousness
4,意識の連続性と同一性,consciousness,意識の連続性と同一性: 理論決着を避け、状態境界と proxy 指標の比較に限定した保守的テーマです。,本申請では「縦断EEGによる個人内安定性と状態連続性の指標化」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はcross-session identification accuracyを中心とし、cross-session EEG biometrics と self-related EEG 指標を用いて、個人内安定性と状態変動の関係を比較し、stability proxy の上限を示す。主張はL0-L1相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEG反復計測における個人内安定特徴と状態依存変動の分離評価」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。cross-session identification accuracyを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEG反復計測における個人内安定特徴と状態依存変動の分離評価」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、proxy 指標の比較表と注意点を共有し、強い理論主張を避けた議論基盤を整える。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEG反復計測における個人内安定特徴と状態依存変動の分離評価」を実装前の成立条件評価として使う。公開EEGでcross-session identification accuracyと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,consciousness
4,mind-upload可能性の理論的枠組み,theory_commons,mind-upload可能性の理論的枠組み: 実証可能域と停止条件を明文化する研究基盤整備テーマです。,本申請では「EEGベース検証可能性のクレーム階段設計と benchmark commons」を対象に、EEG-DATAから整列可能な公開データを選定し、固定前処理・被験者外分割・必要に応じてcross-dataset評価を適用する。主要評価はcoverageを中心とし、EEG-DATA の公開カタログと主要課題を整理し、どの主張がどの測定・汎化・状態分類の前提に依存するかをクレーム階段として設計する。主張はL0相当に限定し、再利用可能な benchmark と比較ノートを成果物とする。,奨励金向けには「公開EEGで検証可能な神経表現の保存性・再現性要件の整理」として、公開EEG 2-3本に絞った3か月規模の再解析テーマに落とす。coverageを中心に図表と短報を作成し、強い理論主張ではなく『まず再現するか』を確かめる初手成果として提示する。,活動助成向けには「公開EEGで検証可能な神経表現の保存性・再現性要件の整理」を共有基盤整備として位置づける。公開EEGの比較表、再現手順、短い解説資料を整備し、claim ladder と dataset atlas を整備し、研究会や共同提案の共通基盤を作る。 個別性能の誇張ではなく、benchmark commons と共同研究形成を主成果に置く。,事業化・立ち上げ支援向けには「公開EEGで検証可能な神経表現の保存性・再現性要件の整理」を実装前の成立条件評価として使う。公開EEGでcoverageと劣化幅を確認したうえで、軽量推論、portable/wearable 条件、UI 実装へ接続する。現段階では製品化の断定ではなく、要件整理と低リスクPoCを成果に置く。,theory_commons
