phase,topic,close_focus,keep_signal,close_signal,last_asset,note_line,avoid_point
3,意思決定過程,選好 proxy の限定条件が残るか,条件比較図か task 依存メモが参照される,限定条件更新も参照も止まる,条件比較図1枚か task 依存メモ1枚,限定的な選好 proxy が消えた時点で閉じる,自由意志の決着にしない
3,社会的認知,social stress や joint attention の限定条件が残るか,条件メモか比較表が参照される,限定条件更新も参照も止まる,条件メモ1枚か比較表1枚,社会的認知 proxy の限定が消えた時点で閉じる,対人理解の一般論に飛ばない
3,創造性・問題解決,proxy 指標が task 差込みでも残るか,task 別比較表か failure note が参照される,指標更新も参照も止まる,task 別比較表1枚か failure note 1件,proxy 指標の説明余地が消えた時点で閉じる,創造性の本質説明にしない
3,主観的経験の定量化,自己報告との対応条件が限定つきで残るか,対応表か rating 条件メモが参照される,対応更新も参照も止まる,対応表1枚か rating 条件表1枚,主観報告との対応条件が消えた時点で閉じる,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,state boundary proxy が限定つきで残るか,boundary 比較図か条件メモが参照される,proxy 更新も参照も止まる,boundary 図1枚か条件メモ1枚,NCC proxy の限定条件が消えた時点で閉じる,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件が benchmark として残るか,分類比較表か評価条件表が参照される,分類更新も参照も止まる,分類比較表1枚か評価条件表1枚,state 分類 benchmark の再利用が止まった時点で閉じる,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy の限定条件が残るか,proxy 比較表か算出条件メモが参照される,proxy 更新も参照も止まる,proxy 比較表1枚か算出条件メモ1枚,IIT proxy の限定条件が消えた時点で閉じる,理論決着の話にしない
4,Global Workspace Theory の検証,P300 や ignition proxy の成立条件が残るか,成立条件表か task 差分図が参照される,条件更新も参照も止まる,成立条件表1枚か task 差分図1枚,GWT proxy の成立条件が消えた時点で閉じる,理論証明の話にしない
4,意識の連続性と同一性,個人内安定性の限定条件が残るか,縦断条件メモか安定性図が参照される,限定条件更新も参照も止まる,安定性図1枚か縦断条件メモ1枚,本人性ではなく縦断 proxy の再利用が止まった時点で閉じる,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域の整理が benchmark commons として残るか,クレーム階段表か停止条件表が参照される,整理更新も参照も止まる,クレーム階段表1枚か停止条件表1枚,検証可能域の整理が再利用されなくなった時点で閉じる,実現証明の物語にしない
