phase,topic,exit_trigger,preserve_asset,re_entry_condition,note_line,avoid_point
2,"感覚知覚デコーディング","効果が狭い刺激群に限定され 追試でも安定しない時","知覚課題比較表 注記 誤分類条件表","新しい課題設計か刺激制御条件の改善が入った時","今回は 課題比較表を残して 課題設計が整理できるまで閉じます","限定課題の停滞を知覚全体復元不可へ飛ばない"
2,"言語/意味デコーディング","最小単位の差が task confound や artifact から切れない時","最小単位比較表 整理メモ 除外条件表","新しい annotation か task design の改善が入った時","今回は 最小単位比較表を残して annotation 条件が整うまで止めます","停滞を思考解読断念の演出にしない"
3,"感情状態の推定・分類","ラベルが評定者や文化で揺れ physiology confound が支配的な時","感情ラベル頑健性表 利用範囲メモ 条件表","安定ラベル設計か課題条件の整理が入った時","今回は 頑健性表を残して ラベル条件が安定するまで縮退運用にします","感情分類の停滞を感情 EEG 無意味と書かない"
3,"記憶のエンコーディング/検索","proxy が戦略差と混ざり 記憶過程の比較軸が定まらない時","記憶proxy比較表 追試メモ proxy 条件表","統制された記憶課題か追加追試が入った時","今回は proxy 表を残して 課題統制が整うまで止めます","proxy 停滞を記憶研究全否定にしない"
3,"注意・ワーキングメモリ","負荷 proxy が drift と個人差に埋もれて再利用できない時","負荷proxy比較表 driftメモ 条件表","drift 制御条件か repeated session が入った時","今回は 負荷 proxy 表を残して drift 制御が整うまで閉じます","負荷 proxy の停滞を万能指標否定だけで終わらせない"
3,"意思決定過程","proxy が運動準備や課題難度から切れず 過程変数比較が壊れる時","意思決定proxy表 除外解釈メモ 比較条件表","motor matched design か別課題追試が入った時","今回は 過程変数比較表を残して design 改善が入るまで止めます","自由意志論の勝敗に逃げない"
3,"社会的認知","サンプル確保と ecological validity が両立せず 最小課題も固まらない時","社会課題最小条件表 追試案メモ 条件表","共有可能な小課題か協力先が入った時","今回は 最小条件表を残して 小課題共有ができるまで閉じます","社会性全般の不可能論にしない"
3,"創造性・問題解決","proxy が間接的すぎて採点基準も揺れ 比較軸が固定できない時","創造性proxy図 教材注記 比較条件表","採点 rubric か限定課題の改善が入った時","今回は proxy 図を残して rubric が整うまで止めます","創造性を測れないと断定しない"
3,"主観的経験の定量化","自己評定との対応が不安定で 尺度再現性も確保できない時","自己評定対応表 利用範囲メモ 条件表","安定尺度か同一手順の追試が入った時","今回は 対応表を残して 尺度条件が安定するまで閉じます","完全定量化できないことを全否定にしない"
4,"意識の神経相関（NCC）定量化","候補指標が覚醒度や刺激差から切れず proxy 比較に留まる時","NCC候補比較図 条件メモ 比較条件表","状態統制が強い dataset か contrast 設計の改善が入った時","今回は NCC 候補比較図を残して 状態統制が整うまで閉じます","NCC 停滞を意識研究無意味論にしない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","施設差とラベルノイズが大きく cross-site 比較が壊れる時","状態分類benchmark表 外れ条件メモ 条件表","multi-site 整理済みラベルか追加施設データが入った時","今回は 状態分類 benchmark を残して cross-site 条件が整うまで止めます","診断代替の約束を残さない"
4,"統合情報理論(IIT)の実証的検証","proxy 指標の理論対応が曖昧で 近似比較以上に進まない時","IIT proxy比較表 条件メモ 比較条件表","理論側の sharper approximation か contrast 設計が入った時","今回は proxy 比較表を残して 近似条件が整理されるまで閉じます","理論の真偽判定を約束しない"
4,"Global Workspace Theory の検証","候補反応が一般的 task engagement から切れず 理論差にならない時","GWT候補反応図 再現メモ 比較条件表","preregistered contrast か新しい課題設計が入った時","今回は 候補反応図を残して contrast が強化されるまで止めます","理論の勝敗宣言を残さない"
4,"意識の連続性と同一性","個人内安定性が nuisance drift と分離できず 長期比較も不足する時","個人内安定性比較図 proxyメモ 条件表","高頻度 longitudinal data か状態遷移設計が入った時","今回は 個人内比較図を残して longitudinal 条件が整うまで閉じます","本人確認技術の含みを残さない"
4,mind-upload可能性の理論的枠組み,"claim ladder が EEG 根拠から遊離し 不足要件の更新も止まる時","claim ladder 評価メモ 不足要件表","新しい empirical anchor か理論制約整理が入った時","今回は claim ladder を残して empirical anchor が増えるまで閉じます","実現時期や実装可能性を匂わせない"
