support_type,question,answer_30s,intent_tag,avoid_point
award_or_prize,なぜ賞や奨学の対象として評価されるべきか,"着想よりも、公開EEGで再現可能な成果を継続的に積み上げてきた実行力を評価していただきたいです。図表、短報、整理済み notebook まで残している点が強みです。",merit,"励みになるから欲しいとは言わない"
award_or_prize,何を継続してきたのか,"公開EEGの整理、再解析、図表化、短報化を小さく回し続けてきました。透明な手順と公開可能な成果を途切れずに積み上げています。",continuity,"思いつきで始めたと言わない"
award_or_prize,受賞後の資金は何に使うのか,"成果公開、英文校閲、小規模計算資源、発表整備に限定して使います。次段の申請や連携を呼び込む整備費として使います。",budget_use,"柔軟に考えると濁さない"
award_or_prize,学生主体性はどこにあるのか,"テーマ設定、再解析、図表化、短報化までを学生主導で完結できる形にしています。公開EEG前提なので主体性を示しやすいです。",independence,"教員依存の印象を出さない"
award_or_prize,公開性はどう担保するのか,"公開可能な図表、手順、比較表を優先して残します。再利用できる資産として見せる方針です。",openness,"非公開前提にしない"
award_or_prize,社会的意義は何か,"派手な主張ではなく、再現可能な研究資産を増やす点に意義があります。公開データ研究の信頼性を底上げします。",impact,"有名になりたいとは言わない"
award_or_prize,研究の独立性はどう示すのか,"公開データ選定から解析条件の固定、成果物整備までを自走している点で示します。継続性のある代表実績として提示します。",independence,"補助的作業だけに見せない"
award_or_prize,どの成果が代表実績なのか,"図表付き short report、公開可能な notebook、比較表の3点を代表実績に置きます。単発の数値より再利用性を重視します。",outputs,"精度一点張りにしない"
award_or_prize,なぜ今評価されるべきか,"公開EEGと再現研究の価値が高まっている今、地道な基盤整備が次段の研究を加速するからです。タイミングとして意味があります。",timing,"今後に期待と言いすぎない"
award_or_prize,再現性はどう担保するのか,"公開データ、固定前処理、比較可能な評価表を前提に進めています。第三者が追いやすい形で成果を残します。",reproducibility,"個人の勘や経験に頼ると言わない"
award_or_prize,他の候補との差別化は何か,"派手な性能主張ではなく、公開可能な成果資産を継続的に積み上げている点で差別化します。再利用価値が高いです。",differentiation,"独創性だけで押さない"
award_or_prize,受賞後の展望は何か,"受賞を次の研究展開と共同研究形成の加速材に使います。成果公開と申請整備を進め、次段の資金に接続します。",followup,"名誉に留まるとは言わない"
award_or_prize,受賞しなくても続くのか,"続けますが、受賞があると公開整備と発信を加速できます。つまり受賞は速度を上げる要素です。",resilience,"ないと止まるとは言わない"
activity_grant,なぜ活動助成なのか,"個別研究の性能より、再解析手順と評価基準を共有して再現性を底上げする活動だからです。公開EEGは教育と共有に向いています。",fit,"研究助成の代替と言わない"
activity_grant,単発イベントで終わらない根拠は何か,"手順書、配布資料、録画、wiki、再現用 CSV を残すからです。参加後に各自が追試できる形までを成果に含めます。",sustainability,"交流して終わりと言わない"
activity_grant,参加者には何が残るのか,"公開EEGを使った教材、再解析手順、比較表、導線が残ります。あとで自分の環境で試せることが重要です。",benefit,"満足度だけを成果にしない"
activity_grant,対象者は誰か,"公開EEGを使って再現研究を始めたい学生、若手研究者、共同研究候補者です。入口を広くしつつ、テーマは絞ります。",audience,"誰でも歓迎だけで終わらせない"
activity_grant,どの資料を公開するのか,"発表資料、手順書、録画、比較表、wiki/CSV を公開対象にします。追試しやすさを重視します。",materials,"イベント告知だけにしない"
activity_grant,成果はどう評価するのか,"開催回数ではなく、資料公開数、追試可能な手順数、参加後の実装・連携・次段申請への接続件数で評価します。",metrics,"参加者数だけで測らない"
activity_grant,共同研究にどうつながるのか,"公開EEGを共通土台にすると、各自が同じ benchmark を見ながら話せます。そこから役割分担と次段提案に繋げます。",collaboration,"雰囲気が良くなるとは言わない"
activity_grant,公開EEGを使う利点は何か,"参加者が手元で同じデータを再現できることです。再現性教育と共同研究の入口として強いです。",advantage,"無料だからだけで済ませない"
activity_grant,オンライン中心でも成立するのか,"成立します。公開データと資料公開が中心なので、同期開催と非同期追試の両方に対応できます。",format,"対面でないと無理と言わない"
activity_grant,予算の中心は何か,"配信運営、教材作成、公開サイト整備、資料整備です。場づくりより、残る資産づくりに重心を置きます。",budget,"飲食や雑費中心に見せない"
activity_grant,波及効果は何か,"参加後に何件の実装、連携、公開成果が生まれるかで見せます。単発満足度ではなく次の動きが重要です。",impact,"啓発できたで止めない"
activity_grant,終了後はどう維持するのか,"wiki、CSV、録画、手順書として残し、次回以降の活動で再利用します。単年で消えない形にします。",maintenance,"一回限りと認めない"
loan_or_finance,なぜ融資や金融支援が必要なのか,"資金不足の穴埋めではなく、公開EEG再解析基盤を止めずに回し、次段の助成獲得まで繋ぐ橋渡し資金だからです。使途は計算、保存、公開、申請対応に限定します。",need,"とりあえず資金確保とは言わない"
loan_or_finance,返済や回収の見通しはどう考えるのか,"何に投資して何のコストを下げ、どの外部資金や連携に繋げるかで説明します。希望ではなく計画で示します。",repayment,"採択次第と濁さない"
loan_or_finance,高額設備を買わないのか,"今回は成立条件の整理が目的で、高額設備は不要です。低リスク PoC と成果公開に絞る方が金融支援としても説明しやすいです。",scope,"将来一式買いたいとは言わない"
loan_or_finance,短期成果は何か,"運用メモ、低遅延評価ノート、成果公開計画、次段申請材料を短期成果に置きます。まず止めずに回すことが重要です。",outputs,"遠い将来の夢だけ語らない"
loan_or_finance,使途管理はどうするのか,"クラウド計算、保存環境、成果公開、申請・報告対応に限定して管理します。高額設備や広い雑費には使いません。",governance,"柔軟運用と言い過ぎない"
loan_or_finance,外部資金獲得にはどうつながるのか,"橋渡し資金で benchmark と PoC 材料を整え、次段の助成申請や共同研究提案の確度を上げます。スピード確保が狙いです。",followup,"借りたら何とかなるとは言わない"
loan_or_finance,失敗時のリスクをどう抑えるのか,"公開EEGのみ、新規被験者募集なし、高額設備なしなので固定費が小さいです。失敗しても比較資料と次段材料は残ります。",risk,"ゼロリスクとは言わない"
loan_or_finance,何に投資するのか,"再解析環境、比較実行、成果公開、申請整備です。継続利用で生産性を上げる基盤に投資します。",investment,"必要そうなもの一通りとは言わない"
loan_or_finance,どのコストを下げるのか,"毎回ばらばらにやる再解析と申請準備のコストを下げます。共通基盤化で次回以降の立ち上がりが速くなります。",efficiency,"節約のためだけと言わない"
loan_or_finance,なぜ今借りる必要があるのか,"採択待ちで止めるより、基盤を先に整えて次段の申請確度を上げるほうが合理的だからです。時間を買う性格の資金です。",timing,"今すぐお金が欲しいとは言わない"
loan_or_finance,収益がないのにどう説明するのか,"直接収益より、外部資金獲得率と共同研究化の確率を上げる投資として説明します。研究基盤の運転資金です。",business_model,"売上が出る予定と安易に言わない"
loan_or_finance,橋渡し後の出口は何か,"次段の助成採択、共同研究提案、公開成果による信用形成が出口です。短期 PoC をその材料にします。",exit,"出口未定のまま借りない"
