phase,topic,day_0_to_60,day_61_to_120,day_121_to_180,deliverable_180d,decision_gate,avoid_point
2,"感覚知覚デコーディング","刺激制御を揃えた限定課題を再走する","課題 family ごとの比較表を作る","誤分類条件と使える課題を整理する","知覚課題比較表と誤分類条件メモ","限定課題で安定差が残るかで続行を決める","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation と task design を最小範囲で整える","最小単位比較表を更新する","除外条件と安全域を1枚にまとめる","最小単位比較表と除外条件メモ","最小単位で安定差が残るかで続行を決める","思考解読にしない"
3,"感情状態の推定・分類","ラベル定義と評定条件を小さく見直す","頑健性比較表を更新する","安全に使えるラベルだけを残す","感情ラベル頑健性表と利用範囲メモ","ラベル一貫性が改善するかで続行を決める","感情断定にしない"
3,"記憶のエンコーディング/検索","統制課題を少数条件で再走する","proxy 比較表を更新して追試条件を整理する","不足条件と再利用条件を固定する","記憶 proxy 比較表と追試条件メモ","proxy が再現する条件が残るかで続行を決める","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift 制御下で repeated session を取り直す","負荷 proxy 比較表を更新する","運用ルールと利用範囲を短く残す","負荷 proxy 比較表と drift メモ","負荷差が安定するかで続行を決める","万能指標にしない"
3,"意思決定過程","motor matched design で最小課題を再走する","過程 proxy 比較表と除外解釈メモを作る","残る差分だけを1枚に固定する","意思決定 proxy 表と除外解釈メモ","過程差が残る条件があるかで続行を決める","自由意志論へ流れない"
3,"社会的認知","共有可能な小課題で pilot を1回回す","最小条件比較表と追試案を整える","協力先に渡せる小課題メモを作る","社会課題最小条件表と pilot メモ","小課題で再現差が見えるかで続行を決める","広い社会性判定にしない"
3,"創造性・問題解決","採点 rubric を整えて限定課題を再実施する","proxy 図と採点一致を更新する","教材化できる比較軸だけを残す","創造性 proxy 図と rubric メモ","採点一致が改善するかで続行を決める","創造性そのものを測れたとしない"
3,"主観的経験の定量化","同一尺度で repeat session を追加する","対応表と尺度条件を更新する","有効尺度と無効尺度を分けて残す","自己評定対応表と尺度条件メモ","対応が再現する尺度があるかで続行を決める","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","状態統制を強めた contrast を再走する","NCC 候補比較図と条件メモを更新する","残る候補だけを1枚に圧縮する","NCC 候補比較図と条件メモ","候補差が再現する条件があるかで続行を決める","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","site と label の整備を最小範囲でやり直す","cross-site benchmark 表を更新する","外れ条件と再利用条件をまとめる","状態分類 benchmark 表と外れ条件メモ","cross-site で使える条件が残るかで続行を決める","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似条件を明示して proxy を再計算する","proxy 比較表と理論注記を更新する","言い過ぎない範囲を固定する","IIT proxy 比較表と理論注記","近似 proxy が安定する条件があるかで続行を決める","理論証明にしない"
4,"Global Workspace Theory の検証","preregistered contrast で候補反応を再走する","候補反応図と代替説明メモを更新する","再現した差だけを短く残す","GWT 候補反応図と代替説明メモ","候補反応が再現する条件があるかで続行を決める","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","高頻度 longitudinal subset を再整理する","個人内安定性比較図と proxy 条件を更新する","状態遷移 proxy の条件だけを残す","個人内安定性比較図と proxy メモ","個人内安定性が確認できるかで続行を決める","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"新しい empirical anchor を claim ladder に差し込む","安全域と不足要件表を更新する","言い過ぎない narrative を1枚に固定する","claim ladder 更新版と不足要件表","安全域が更新されるかで続行を決める","実現可能性を匂わせない"
