phase,topic,abstract_200_template,abstract_400_template,abstract_800_template
2,感覚知覚デコーディング,本研究はERP/P300/SSVEP による感覚知覚 decoding の再現性評価を目的とし、公開EEGデータを横断してP300 latencyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はERP/P300/SSVEP による感覚知覚 decoding の再現性評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、P300 latencyを含む主要指標を比較する。ERP/P300/SSVEP をまたぐ知覚課題で latency、amplitude、classification accuracy を比較し、知覚更新や attention proxy の再現性を調べる。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant>award_or_prize 向けの申請テーマとして整理する。,本研究はERP/P300/SSVEP による感覚知覚 decoding の再現性評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は P300 latency; SSVEP frequency classification; AUC とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「ERP/P300/SSVEP をまたぐ知覚課題で latency、amplitude、classification accuracy を比較し、知覚更新や attention proxy の再現性を調べる。」であるが、主張は L1 相当に限定し、知覚内容を完全復元する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant>award_or_prize に提出可能な benchmark／短報／実務ノートとしてまとめる。
2,言語/意味デコーディング,本研究はimagined speech EEG decoding の成立条件に関する比較研究を目的とし、公開EEGデータを横断してimagined speech classificationを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はimagined speech EEG decoding の成立条件に関する比較研究を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、imagined speech classificationを含む主要指標を比較する。imagined speech、semantic congruency、N400 系公開EEGを用いて、言語ラベル定義と課題構造の差が decoding 成立性へ与える影響を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はimagined speech EEG decoding の成立条件に関する比較研究を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は imagined speech classification; semantic congruency ERP とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「imagined speech、semantic congruency、N400 系公開EEGを用いて、言語ラベル定義と課題構造の差が decoding 成立性へ与える影響を比較する。」であるが、主張は L1 相当に限定し、思考や文章を読む のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,感情状態の推定・分類,本研究はemotion/stress EEG の被験者間頑健性評価を目的とし、公開EEGデータを横断してmacro-F1を中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はemotion/stress EEG の被験者間頑健性評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、macro-F1を含む主要指標を比較する。valence-arousal と psychosocial stress を含む感情EEGを横断し、subject holdout と session transfer を用いて頑健性を評価する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant>award_or_prize 向けの申請テーマとして整理する。,本研究はemotion/stress EEG の被験者間頑健性評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は macro-F1; calibration error; session transfer とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「valence-arousal と psychosocial stress を含む感情EEGを横断し、subject holdout と session transfer を用いて頑健性を評価する。」であるが、主張は L1 相当に限定し、感情を正確に読む のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant>award_or_prize に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,記憶のエンコーディング/検索,本研究はworking memory と retrieval EEG 指標の再現性検証を目的とし、公開EEGデータを横断してAUROCを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はworking memory と retrieval EEG 指標の再現性検証を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、AUROCを含む主要指標を比較する。working memory と retrieval 課題を用いて、記憶関連EEG指標の再現性と longitudinal drift を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はworking memory と retrieval EEG 指標の再現性検証を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は AUROC; workloadレベル別混同行列; longitudinal drift とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「working memory と retrieval 課題を用いて、記憶関連EEG指標の再現性と longitudinal drift を比較する。」であるが、主張は L1 相当に限定し、記憶内容を読む のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,注意・ワーキングメモリ,本研究はattention/workload EEG の汎化評価と作業負荷指標の標準化を目的とし、公開EEGデータを横断してmacro-F1を中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はattention/workload EEG の汎化評価と作業負荷指標の標準化を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、macro-F1を含む主要指標を比較する。workload と attention を含む公開EEGに統一的な分類設定を適用し、単チャネルを含む軽量条件での汎化性能を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant>award_or_prize 向けの申請テーマとして整理する。,本研究はattention/workload EEG の汎化評価と作業負荷指標の標準化を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は macro-F1; workloadレベル別混同行列; session drift とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「workload と attention を含む公開EEGに統一的な分類設定を適用し、単チャネルを含む軽量条件での汎化性能を比較する。」であるが、主張は L1 相当に限定し、集中度を完全測定する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant>award_or_prize に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,意思決定過程,本研究はリスク選択・報酬予測に関するEEG指標の比較研究を目的とし、公開EEGデータを横断してAUCを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はリスク選択・報酬予測に関するEEG指標の比較研究を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、AUCを含む主要指標を比較する。報酬・損失・リスク選好を扱う公開課題EEGを比較し、価値評価 proxy と条件差の再現性を調べる。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はリスク選択・報酬予測に関するEEG指標の比較研究を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は AUC; reward/risk condition差 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「報酬・損失・リスク選好を扱う公開課題EEGを比較し、価値評価 proxy と条件差の再現性を調べる。」であるが、主張は L1 相当に限定し、意思決定を解明する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,社会的認知,本研究はsocial stress と joint attention に関するEEG基礎評価を目的とし、公開EEGデータを横断してinter-brain synchronyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はsocial stress と joint attention に関するEEG基礎評価を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、inter-brain synchronyを含む主要指標を比較する。hyperscanning や social stress を含むデータを用いて、相互作用条件での inter-brain synchrony と task差を探索的に比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に activity_grant>research_grant 向けの申請テーマとして整理する。,本研究はsocial stress と joint attention に関するEEG基礎評価を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は inter-brain synchrony; stress反応; joint-task差 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「hyperscanning や social stress を含むデータを用いて、相互作用条件での inter-brain synchrony と task差を探索的に比較する。」であるが、主張は L1 相当に限定し、社会性を測定する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、activity_grant>research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,創造性・問題解決,本研究は問題解決過程のEEG proxy 指標探索を目的とし、公開EEGデータを横断してtask accuracyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は問題解決過程のEEG proxy 指標探索を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、task accuracyを含む主要指標を比較する。creative insight や problem solving 課題の公開EEGを比較し、問題解決過程に関わる ERP proxy の再現性を測る。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に award_or_prize>research_grant 向けの申請テーマとして整理する。,本研究は問題解決過程のEEG proxy 指標探索を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は task accuracy; insight-related ERP とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「creative insight や problem solving 課題の公開EEGを比較し、問題解決過程に関わる ERP proxy の再現性を測る。」であるが、主張は L1 相当に限定し、創造性を判定する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、award_or_prize>research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
3,主観的経験の定量化,本研究はsubjective rating と EEG 指標の対応づけに関する比較研究を目的とし、公開EEGデータを横断してsubjective ratingとの相関を中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はsubjective rating と EEG 指標の対応づけに関する比較研究を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、subjective ratingとの相関を含む主要指標を比較する。pain や awareness の主観評価を伴う公開データを用いて、self-report と EEG 指標の対応関係を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はsubjective rating と EEG 指標の対応づけに関する比較研究を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は subjective ratingとの相関; state classification とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「pain や awareness の主観評価を伴う公開データを用いて、self-report と EEG 指標の対応関係を比較する。」であるが、主張は L1 相当に限定し、主観を客観化する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,意識の神経相関（NCC）定量化,本研究は覚醒・睡眠・夢・眠気境界におけるEEG proxy の定量比較を目的とし、公開EEGデータを横断してstate accuracyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は覚醒・睡眠・夢・眠気境界におけるEEG proxy の定量比較を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、state accuracyを含む主要指標を比較する。awake-sleep-dream-drowsy の境界を含む公開EEGを用いて、複雑性指標や遷移指標の変化を比較し、状態境界に敏感な proxy 群の再現性を評価する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は覚醒・睡眠・夢・眠気境界におけるEEG proxy の定量比較を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は state accuracy; transition entropy; complexity proxy とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「awake-sleep-dream-drowsy の境界を含む公開EEGを用いて、複雑性指標や遷移指標の変化を比較し、状態境界に敏感な proxy 群の再現性を評価する。」であるが、主張は L1 相当に限定し、意識の正体を解明する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,本研究はconsciousness boundary classification の公開EEGベンチマークを目的とし、公開EEGデータを横断してstate accuracyを中心に比較する。主張はL1相当に限定し、再現可能な benchmark として成果を整理する。,本研究はconsciousness boundary classification の公開EEGベンチマークを目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、state accuracyを含む主要指標を比較する。複数の睡眠・眠気・麻酔関連EEGデータに統一分類設定を与え、state accuracy と confusion pattern を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はconsciousness boundary classification の公開EEGベンチマークを目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は state accuracy; Cohen's kappa; wake-sleep-drowsy confusion とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「複数の睡眠・眠気・麻酔関連EEGデータに統一分類設定を与え、state accuracy と confusion pattern を比較する。」であるが、主張は L1 相当に限定し、意識の有無を決定する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,統合情報理論(IIT)の実証的検証,本研究はEEG複雑性指標を用いた IIT proxy の再計算と比較を目的とし、公開EEGデータを横断してcomplexity proxyを中心に比較する。主張はL1-L2弱相当に限定し、再現可能な benchmark として成果を整理する。,本研究はEEG複雑性指標を用いた IIT proxy の再計算と比較を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、complexity proxyを含む主要指標を比較する。睡眠や催眠の公開EEGから複雑性 proxy を再計算し、状態差と指標安定性を比較して理論が要求する proxy 指標の挙動比較に限定する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はEEG複雑性指標を用いた IIT proxy の再計算と比較を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は complexity proxy; state-conditioned差 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「睡眠や催眠の公開EEGから複雑性 proxy を再計算し、状態差と指標安定性を比較して理論が要求する proxy 指標の挙動比較に限定する。」であるが、主張は L1-L2弱 相当に限定し、IIT を証明する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,Global Workspace Theory の検証,本研究はP300/ignition proxy に基づく Global Workspace 指標の比較研究を目的とし、公開EEGデータを横断してP300 amplitudeを中心に比較する。主張はL1-L2弱相当に限定し、再現可能な benchmark として成果を整理する。,本研究はP300/ignition proxy に基づく Global Workspace 指標の比較研究を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、P300 amplitudeを含む主要指標を比較する。P300 や ignition/broadcast proxy を含む公開ERP課題を用いて、知覚更新条件での成分差と再現性を比較する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究はP300/ignition proxy に基づく Global Workspace 指標の比較研究を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は P300 amplitude; latency; condition差 とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「P300 や ignition/broadcast proxy を含む公開ERP課題を用いて、知覚更新条件での成分差と再現性を比較する。」であるが、主張は L1-L2弱 相当に限定し、GWT を実証する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,意識の連続性と同一性,本研究は縦断EEGによる個人内安定性と状態連続性の指標化を目的とし、公開EEGデータを横断してcross-session identification accuracyを中心に比較する。主張はL0-L1相当に限定し、再現可能な benchmark として成果を整理する。,本研究は縦断EEGによる個人内安定性と状態連続性の指標化を目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、cross-session identification accuracyを含む主要指標を比較する。cross-session EEG biometrics と self-related EEG 指標を用いて、個人内安定性と状態変動の関係を比較し、stability proxy の上限を示す。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に research_grant 向けの申請テーマとして整理する。,本研究は縦断EEGによる個人内安定性と状態連続性の指標化を目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は cross-session identification accuracy; within-person vs between-person distance とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「cross-session EEG biometrics と self-related EEG 指標を用いて、個人内安定性と状態変動の関係を比較し、stability proxy の上限を示す。」であるが、主張は L0-L1 相当に限定し、本人性を証明する のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
4,mind-upload可能性の理論的枠組み,本研究はEEGベース検証可能性のクレーム階段設計と benchmark commonsを目的とし、公開EEGデータを横断してcoverageを中心に比較する。主張はL0相当に限定し、再現可能な benchmark として成果を整理する。,本研究はEEGベース検証可能性のクレーム階段設計と benchmark commonsを目的とする。EEG-DATA から整列可能な公開データを選び、固定前処理・被験者外分割・cross-dataset 評価を適用して、coverageを含む主要指標を比較する。EEG-DATA の公開カタログと主要課題を整理し、どの主張がどの測定・汎化・状態分類の前提に依存するかをクレーム階段として設計する。 という問いに対し、強い理論主張ではなく再現範囲と失敗条件を明示する。成果物は再利用可能な表・CSV・短報であり、主に activity_grant>research_grant 向けの申請テーマとして整理する。,本研究はEEGベース検証可能性のクレーム階段設計と benchmark commonsを目的とし、公開EEGデータの横断再解析によって検証可能なサブ問題を明確化する。具体的には EEG-DATA から課題定義を揃えられるデータを選定し、固定前処理、被験者外分割、必要に応じて cross-dataset 評価を適用する。主要評価は coverage; claim ladder; benchmark design とし、性能だけでなく calibration、失敗率、劣化幅も報告する。中心となる問いは「EEG-DATA の公開カタログと主要課題を整理し、どの主張がどの測定・汎化・状態分類の前提に依存するかをクレーム階段として設計する。」であるが、主張は L0 相当に限定し、mind-upload の実現を示す のような強い表現は採らない。結果として、再現しやすい条件、破綻しやすい条件、次段階で追加計測が必要な論点を切り分け、activity_grant>research_grant に提出可能な benchmark／短報／実務ノートとしてまとめる。
