phase,topic,hard_to_pass_curated,easier_to_pass_curated,abstract_200_curated
2,感覚知覚デコーディング,視覚・聴覚の知覚内容をEEGから再現する,公開ERP/SSVEP EEGにおける刺激条件判別と条件間頑健性の評価,公開ERP、P300、SSVEPデータを用い、刺激有無、刺激頻度、刺激カテゴリの判別性能を統一条件で比較する。視覚・聴覚課題をまたいだ性能差とノイズ耐性を評価し、知覚内容の復元ではなく、刺激条件に関連した再現可能な判別信号の範囲を整理する。
2,言語/意味デコーディング,EEGから言語意味を読み取る,公開言語課題EEGにおける語彙カテゴリ・意味関連性指標の判別可能性評価,利用可能な公開言語課題EEGを対象に、語彙カテゴリ、意味関連性、文違反条件など既知ラベルの判別可能性を評価する。N400やP600に関連する時空間特徴の再現性を確認し、自由文の意味復元ではなく、条件差として安定に検出できる言語関連指標を整理する。
3,感情状態の推定・分類,EEGだけで感情を高精度に読み取り内面状態を再構成する,公開EEG感情課題におけるラベル再現性とデータセット間汎化限界の評価,公開EEG感情データを対象に、感情価・覚醒度ラベルの再現性とデータセット間汎化限界を評価する。単一データセット内の最高精度ではなく、統一前処理、被験者外分割、データセット外検証を通じて、安定して再現できる条件と崩れやすい条件を整理する。
3,記憶のエンコーディング/検索,EEGから記憶内容そのものを読み出す,公開EEG記憶課題における符号化・検索段階ラベルと後続成績の関連評価,公開EEGの記憶課題を用いて、符号化段階・検索段階・後続再認成績に関係するERPおよび周波数特徴の再現性を検証する。記憶内容の読出しは主張せず、課題条件間の識別可能性、被験者外汎化、前処理依存性を整理し、公開データで確認できる範囲を明確化する。
3,注意・ワーキングメモリ,EEGから注意の焦点と思考容量を常時監視する,公開EEG注意・ワーキングメモリ課題における負荷ラベル識別の頑健性評価,公開EEGの注意・ワーキングメモリ課題を対象に、負荷条件や手がかり条件の識別性能とその頑健性を検証する。課題外の思考内容推定には踏み込まず、統一前処理、被験者外評価、収録条件差の比較を通じて、どの特徴が比較的安定し、どこで性能が急減するかを示す。
3,意思決定過程,EEGから人間の意思決定を予測し合理性を解明する,公開EEG意思決定課題における選択前後指標の再現性評価,公開EEGの意思決定課題を用いて、選択前の蓄積過程に関連する成分、選択後の誤差・報酬フィードバック成分、反応時間帯との対応を比較する。複雑な価値判断一般への拡張は避け、単純課題で再現可能な神経指標とその汎化限界を監査可能な形で整理する。
3,社会的認知,EEGから他者理解や共感能力を定量化する,公開EEG社会刺激課題における社会的手がかり反応の再現性評価,公開EEGに含まれる顔表情、社会的手がかり、生体運動課題を対象に、社会刺激と非社会刺激のコントラストがどこまで安定して再現するかを検証する。共感や心の理論の直接測定は主張せず、注意配分やERP差分として確認できる範囲を整理する。
3,創造性・問題解決,EEGで創造性を客観測定し発想力を評価する,公開EEG創造課題・問題解決課題における条件差の再現性評価,公開EEGの創造課題・問題解決課題を用い、洞察あり/なし、発散/収束、正答/誤答などの課題条件差に対応する特徴の再現性を評価する。創造性という特性そのものの測定ではなく、公開データで検証可能な条件差と前処理依存性を整理し、主張範囲を限定する。
3,主観的経験の定量化,EEGで主観体験そのものを数値化する,自己報告付き公開EEG課題における主観評価と脳波特徴の対応分析,自己報告を伴う公開EEG課題を対象に、眠気、確信度、感情価、主観的負荷などの評定値と脳波特徴の対応を比較する。主観体験そのものの直接測定は避け、どの尺度で説明可能分散が得られるか、どこで個人差や課題差が大きいかを保守的に整理する。
4,意識の神経相関（NCC）定量化,EEGで意識の本質を特定する,公開EEGにおける意識状態ラベルと整合する候補指標の比較評価,公開EEGで利用可能な覚醒、睡眠、DoC などの状態ラベルを用い、複雑性指標、接続性指標、ERP指標がどの程度一貫して状態差と整合するかを比較する。因果的なNCC同定は主張せず、再現性、前処理依存性、データセット差を含む候補指標の実務的な比較にとどめる。
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,あらゆる意識状態をEEGで完全分類する,利用可能な公開EEG意識状態データにおける分類性能と分布外汎化の評価,公開EEGで利用可能な覚醒、睡眠、麻酔、DoC の各状態データを対象に、状態分類性能と分布外汎化性能を比較する。万能分類器の主張は避け、ラベル粒度、記録条件、前処理差、施設差が性能に与える影響を整理し、再現可能なベンチマークとして提示する。
4,統合情報理論(IIT)の実証的検証,EEGからΦを算出してIITを実証する,公開EEGで計算可能な統合・複雑性近似指標の比較評価,本研究はIITそのものの真偽を直接判定しない。公開EEGに適用可能な統合度・複雑性・PCI近似指標を比較し、覚醒、睡眠、DoC などの状態ラベルとの整合性、再現性、計算負荷を評価する。理論の証明ではなく、近似指標が使える条件と限界の明示を目的とする。
4,Global Workspace Theory の検証,EEGでグローバルワークスペースの存在を証明する,公開EEG課題における広域共有を示唆する候補パターンの再現性評価,公開EEGの報告課題、注意課題、ワーキングメモリ課題を用いて、後期ERP、広域同期、前頭-頭頂結合など Global Workspace Theory と整合的な候補パターンの再現性を比較する。理論の全面的検証は主張せず、報告要求や課題難度の影響を切り分けた限定的評価を行う。
4,意識の連続性と同一性,EEGから自己同一性の連続性を証明する,公開EEG反復計測における個人内安定特徴と状態依存変動の分離評価,複数セッションの公開EEGを用いて、被験者固有の安定特徴と、状態・課題・睡眠段階によって変動する特徴を分離評価する。人格同一性の哲学的結論には踏み込まず、個人内再現性がどの条件で保たれ、どの条件で崩れるかを定量化し、議論に必要な実証条件を整理する。
4,mind-upload可能性の理論的枠組み,公開EEGからmind-uploadの実現可能性を示す,公開EEGで検証可能な神経表現の保存性・再現性要件の整理,本研究は mind-upload の成否を直接論じない。公開EEGで検証可能な状態識別、個人内安定性、クロスデータセット汎化、記録品質限界を整理し、将来より強い主張を行う前提として必要な最低限の実証要件を定義する。EEGは十分条件ではなく、下限的な検証層として扱う。
