phase,topic,q4_goal,task_1,task_2,task_3,q4_deliverable,avoid_point
3,感情状態の推定・分類,感情ラベル頑健性表を粗い状態分類の年末版として閉じる,Q3年末前版の主観ラベル軸と安全域を最終確認する,年次レビューへ渡す利用範囲メモを作る,次年度へ残す更新メモを1本置く,感情ラベル頑健性表年末版と利用範囲メモ,感情断定にしない
3,記憶のエンコーディング/検索,記憶proxy表を追試軸の年末版として閉じる,Q3年末前版の成功失敗軸を最終確認する,年次レビューへ渡す追試メモを作る,次年度へ残す更新メモを1本置く,記憶proxy比較表年末版と追試メモ,記憶内容を読む話にしない
3,注意・ワーキングメモリ,負荷proxy表を再利用可能な年末版として閉じる,Q3年末前版の複数proxy構成を最終確認する,年次レビューへ渡すdriftメモを作る,次年度へ残す更新メモを1本置く,負荷proxy比較表年末版とdriftメモ,万能指標にしない
3,意思決定過程,意思決定proxy表を除外解釈つきの年末版として閉じる,Q3年末前版の比較図と除外線を最終確認する,年次レビューへ渡す除外解釈メモを作る,次年度へ残す更新メモを1本置く,意思決定proxy表年末版と除外解釈メモ,自由意志論へ流れない
3,社会的認知,社会課題最小条件表を小規模共有の年末版として閉じる,Q3年末前版の対象課題と失敗条件を最終確認する,年次レビューへ渡す追試案メモを作る,次年度へ残す更新メモを1本置く,社会課題最小条件表年末版と追試案メモ,広い社会性判定にしない
3,創造性・問題解決,創造性proxy図を教材利用の年末版として閉じる,Q3年末前版の差分軸を最終確認する,年次レビューへ渡す教材注記を作る,次年度へ残す更新メモを1本置く,創造性proxy図年末版と教材注記,創造性そのものを測れたにしない
3,主観的経験の定量化,自己評定対応表を限定利用の年末版として閉じる,Q3年末前版の尺度と利用範囲を最終確認する,年次レビューへ渡す利用範囲メモを作る,次年度へ残す更新メモを1本置く,自己評定対応表年末版と利用範囲メモ,経験の完全定量化と書かない
4,意識の神経相関（NCC）定量化,NCC候補図を状態差proxyの年末版として閉じる,Q3年末前版の境界条件を最終確認する,年次レビューへ渡す条件メモを作る,次年度へ残す更新メモを1本置く,NCC候補比較図年末版と条件メモ,意識の正体解明としない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,状態分類表を施設差比較の年末版として閉じる,Q3年末前版の状態ラベルと外れ条件を最終確認する,年次レビューへ渡す外れ条件メモを作る,次年度へ残す更新メモを1本置く,状態分類benchmark表年末版と外れ条件メモ,臨床診断代替にしない
4,統合情報理論(IIT)の実証的検証,IIT proxy表を近似テストの年末版として閉じる,Q3年末前版の近似指標と条件差を最終確認する,年次レビューへ渡す条件メモを作る,次年度へ残す更新メモを1本置く,IIT proxy比較表年末版と条件メモ,理論証明にしない
4,Global Workspace Theory の検証,GWT候補図を再現比較の年末版として閉じる,Q3年末前版の比較軸と候補反応を最終確認する,年次レビューへ渡す再現メモを作る,次年度へ残す更新メモを1本置く,GWT候補反応図年末版と再現メモ,理論の勝敗を決めたとしない
4,意識の連続性と同一性,個人内安定性図を状態遷移比較の年末版として閉じる,Q3年末前版の安定成分と変動成分を最終確認する,年次レビューへ渡すproxyメモを作る,次年度へ残す更新メモを1本置く,個人内安定性比較図年末版とproxyメモ,本人確認技術にしない
4,mind-upload可能性の理論的枠組み,claim ladderを評価軸commonsの年末版として閉じる,Q3年末前版の不足要件と支えられる範囲を最終確認する,年次レビューへ渡す評価メモを作る,次年度へ残す更新メモを1本置く,claim ladder年末版と評価メモ,mind-upload実現を語らない
