uid,rq_index,supplementary_1,domain,tag_primary,tag_secondary,tag_reason,tag_rule_version
U3,4,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U3,5,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U3,6,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U4,1,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U4,2,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U4,3,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U4,4,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U7,1,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U7,2,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U7,3,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U7,4,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U7,5,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U7,6,https://doi.org/10.1162/imag.a.136,doi.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U8,1,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U8,2,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U8,3,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U8,4,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U8,5,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U8,6,https://doi.org/10.1093/brain/awad429,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U10,1,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U10,2,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U10,3,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U10,4,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U11,1,https://doi.org/10.1093/nc/niad016,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U11,2,https://doi.org/10.1093/nc/niad016,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U11,3,https://doi.org/10.1093/nc/niad016,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U11,4,https://doi.org/10.1093/nc/niad016,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,1,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,2,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,3,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,4,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,5,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U12,6,https://doi.org/10.1111/bioe.70045,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,1,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,2,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,3,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,4,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,5,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U13,6,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U14,1,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U14,2,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U14,3,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U14,4,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U14,5,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U14,6,https://zenodo.org/records/18201723,zenodo.org,operation,data_pipeline_and_ops,"Prioritize operational reading as it is directly connected to operational procedures, specifications, and implementation infrastructure.",round16-v1
U15,1,https://oecd.ai/ai-principles/,oecd.ai,regulation,policy_and_compliance,Priority is given to regulatory reading as it is a legal system/standard document.,round16-v1
U15,2,https://oecd.ai/ai-principles/,oecd.ai,regulation,policy_and_compliance,Priority is given to regulatory reading as it is a legal system/standard document.,round16-v1
U15,3,https://oecd.ai/ai-principles/,oecd.ai,regulation,policy_and_compliance,Priority is given to regulatory reading as it is a legal system/standard document.,round16-v1
U15,4,https://oecd.ai/ai-principles/,oecd.ai,regulation,policy_and_compliance,Priority is given to regulatory reading as it is a legal system/standard document.,round16-v1
