uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U4,3,How do we connect the theoretical predictions of active inference and DCM to counterfactual evaluation?,"DCM and active inference can be used, but unless you first decide on a design that connects to counterfactual evaluation, the explanation will be incomplete.",https://pubmed.ncbi.nlm.nih.gov/38826672/,https://doi.org/10.1109/TNSRE.2021.3123964,,Intervention effect concordance rate; causal recall rate; falsification rate; counterfactual consistency score,Added causal equivalence failure condition checklist to verification.md,"Add a column for ""Counterfactual test item (expected difference of do intervention)"" to U4 RQ3.",Person in charge: Analysis WG. Premise: Counterfactual task design. Completion condition: Comparison results of expected difference and measured difference are published.,"Medium (methodology available, intervention standards insufficient)",research_deepening_round3_2026-03-01.md#u4
U4,4,At what level should the failure condition (falsification) of equivalence judgment be declared?,Causal equivalences that do not declare a falsification are operationally unverifiable.,https://doi.org/10.1016/j.neuroimage.2024.120954,https://doi.org/10.1038/s41583-024-00881-3,,Intervention effect concordance rate; causal recall rate; falsification rate,Added causal equivalence failure condition checklist to verification.md,"Add a column to U4 RQ4 to enter the ""failure declaration threshold (e.g. lower limit of causal recall rate)"" as a numerical value.",Person in charge: Verification WG. Prerequisite: Failure flow approval. Completion condition: Start of public operation of failure cases.,"Medium (methodology available, intervention standards insufficient)",research_deepening_round3_2026-03-01.md#u4
U8,1,How to identify the delay tolerance range of closed-loop BCI from a control theory perspective.,"The delay tolerance range is not only a theory, but also a stage where it can be realized using actual DBS data.",https://doi.org/10.1038/s41591-024-03196-z,https://doi.org/10.1093/brain/awad429,,Stability margin; abnormality detection recall rate; failsafe operation rate,Add closed loop safety KPI table to verification.md,"Add ""Delay upper limit (ms)"" and ""Stability margin"" to U8 RQ1 as required fields.",Responsible for: Clinical/Safety Team. Prerequisite: Safety review approval. Conditions of Completion: Approval of safe shutdown procedures when delays are exceeded.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U8,2,How to incorporate online calibration and concept drift countermeasures.,Practical knowledge about online calibration and drift countermeasures is increasing through long-term operation reports.,https://doi.org/10.1038/s41531-025-01124-7,https://doi.org/10.1038/s41531-024-00772-5,,Stability margin; anomaly detection recall rate; failsafe activation rate; drift rate; relearning frequency,Add closed loop safety KPI table to verification.md,"Add ""Recalibration frequency"" and ""Drift detection threshold"" to U8 RQ2.",Responsible for: Operations team. Prerequisite: Long-term log collection infrastructure. Completion conditions: Recalibration protocol v1 released.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U8,3,Which index should be used to evaluate stability across individual differences and diurnal fluctuations?,"There are large individual differences and diurnal fluctuations, and evaluation based on single session performance is insufficient.",https://doi.org/10.1001/jamaneurol.2025.2781,https://doi.org/10.1038/s41582-025-01131-5,,Stability margin; abnormality detection recall rate; failsafe operation rate,Add closed loop safety KPI table to verification.md,"Add ""intra-day variation coefficient"" and ""intra-individual variance"" to U8 RQ3.",Person in charge: Analysis WG. Assumption: Continuous measurement agreement. Completion condition: Publication of stability evaluation including individual differences.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U8,4,How to incorporate anomaly detection and failsafe into the evaluation contract.,Anomaly detection and failsafes remain to be translated from clinical reports into operational agreements.,https://doi.org/10.1080/17434440.2024.2438309,https://doi.org/10.1038/s41551-025-01438-0,,Stability margin; abnormality detection recall rate; failsafe operation rate,Add closed loop safety KPI table to verification.md,"""Anomaly detection recall rate"" and ""failsafe activation time"" will be added to U8 RQ4.",Person in charge: Safety Committee. Premise: Organizing the division of responsibility in the event of failure. Conditions of Completion: Approval of fail-safe audit procedures.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U8,5,"When introducing human override, how do you turn malfunction rate and recovery time into KPIs?",The practical KPI for human override is to manage the malfunction rate and recovery time as a pair.,https://doi.org/10.1101/2024.08.26.24312580,https://doi.org/10.1038/s41591-024-03196-z,,Stability margin; abnormality detection recall rate; failsafe operation rate,Add closed loop safety KPI table to verification.md,"Add ""override occurrence rate"" and ""median recovery time"" to U8 RQ5.",Responsible for: Clinical Operations Team. Prerequisites: Agreed on-site operating procedures. Completion conditions: Start of regular KPI reporting.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U8,6,How to optimize the relearning frequency in weekly to monthly scale operations by making a trade-off between performance degradation and safety margins.,The relearning frequency must be determined by the least common multiple of ``frequency to suppress performance degradation'' and ``frequency to maintain safety margin.'',https://doi.org/10.1001/jamaneurol.2025.2781,https://doi.org/10.1038/s41531-025-01124-7,,Stability margin; Abnormality detection recall rate; Fail-safe operation rate; Optimum relearning interval; Deterioration rate,Add closed loop safety KPI table to verification.md,"Add ""Deterioration speed"" and ""Relearning interval candidates"" to U8 RQ6 and create a trade-off evaluation column.",Person in charge: Analysis/Safety WG. Assumption: Long-term follow-up system. Completion condition: Pre-registration of optimization policy.,"Medium to high (clinical progress, lack of long-term generalization)",research_deepening_round4_2026-03-01.md#u8
U10,1,How to apply/interpret the Landauer lower bound in neural computation.,"The Landauer lower bound is the ""theoretical minimum cost"" and is not the actual implementation cost of the brain or WBE. Confusion must be avoided.",https://doi.org/10.3390/e26090779,https://arxiv.org/abs/2502.03603,,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Add thermodynamics KPI definition table to glossary.md,"Add a column to U10 RQ1 to record the ""theoretical lower limit"" and ""actual cost"" separately.",Person in charge: Physics Experiment Team. Prerequisite: Unification of measurement conditions for actual measurement systems. Completion condition: Publication of a comparison table of lower limit values ​​and actual measured values.,"Medium (theoretical lead, lack of actual measurements)",research_deepening_round5_2026-03-01.md#u10
U10,2,How to define the correspondence between nonequilibrium thermodynamic index and neural information processing efficiency.,"The relationship between non-equilibrium indicators (dissipation and entropy generation) and consciousness/information processing is starting to show a correlation, but the cause and effect is not yet determined.",https://doi.org/10.1103/PhysRevE.107.024121,https://doi.org/10.1016/j.tics.2024.03.009,,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Add thermodynamics KPI definition table to glossary.md,"Add an evaluation column that separates ""correlation"" and ""causal estimation"" to U10 RQ2.",Person in charge: Analysis WG. Premise: Intervention data acquisition. Completion condition: Publication of verification report including causal direction.,"Medium (theoretical lead, lack of actual measurements)",research_deepening_round5_2026-03-01.md#u10
U10,3,How can we create an observation design that translates theoretical formulas into actual data (neural activity/metabolism)?,Translating theoretical formulas into experiments requires an observation design that simultaneously measures neural activity and metabolism.,https://doi.org/10.1016/j.neubiorev.2023.105070,https://doi.org/10.3390/e26090779,,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Add thermodynamics KPI definition table to glossary.md,"Added mandatory check for ""simultaneous measurement (neural activity + metabolism)"" to U10 RQ3.",Person in charge: Experimental team. Prerequisite: Introduction of a simultaneous measurement environment. Completion condition: Publish reproducible observation protocol.,"Medium (theoretical lead, lack of actual measurements)",research_deepening_round5_2026-03-01.md#u10
U10,4,How to integrate thermodynamic constraints into WBE calculation cost evaluation.,The WBE calculation cost will be underestimated if we do not consider not only the calculation time and memory but also the heat dissipation cost at the same time.,https://doi.org/10.3390/e26090779,https://arxiv.org/abs/2502.03603,,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Add thermodynamics KPI definition table to glossary.md,"Add two-layer KPI of ""calculation cost"" and ""thermal cost"" to U10 RQ4.",Responsible for: Governance/Implementation WG. Premise: Cost ledger design. Completion condition: Start regular evaluation using two-tier KPI.,"Medium (theoretical lead, lack of actual measurements)",research_deepening_round5_2026-03-01.md#u10
U13,1,Can brain-to-text success be broken down into ``semantic restoration'' and ``causal reproduction''?,"When it comes to brain-to-text, it is not enough to just say that the meanings match; it is also necessary to look at whether the internal processes are preserved.",https://doi.org/10.1038/s41593-023-01304-9,https://doi.org/10.1016/j.celrep.2024.114924,,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,Added draft mock-up isolation bench design to verification.md,"U13 Add a column to RQ1 to record ""semantic match index"" and ""causal match index"" separately.",Person in charge: ML evaluation team. Premise: Design of a decoding task with intervention. Completion condition: Public comparative report on two metrics.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U13,2,How to connect LLM's hallucination/consistency test to neural decoding evaluation.,"LLM hallucination tests can be used to check the ""apparent consistency"" of neural decoding outputs, but they are not a substitute for causal conservation.",https://arxiv.org/abs/2506.22486,https://doi.org/10.1609/aaai.v39i27.35124,,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,Added draft mock-up isolation bench design to verification.md,"Add a column to U13 RQ2 ​​to simultaneously audit ""hallucination rate"" and ""causal consistency rate"".",Person in charge: ML evaluation team. Premise: Introduction of a hallucination detector. Completion condition: Automatic reporting of dual-axis audit.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U13,3,How can we detect cases where the internal mechanism is different even though the output is the same?,Expression decomposition and causal perspective evaluation are effective for problems with the same output but different internal mechanisms.,https://doi.org/10.1038/s42256-020-00257-z,https://doi.org/10.1609/aaai.v39i27.35124,,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,Added draft mock-up isolation bench design to verification.md,"Add a ""shortcut indication"" check field to U13 RQ3.",Person in charge: Analysis WG. Premise: Intervention/Counterfactual Evaluation Foundation. Completion condition: Publication of the detection rate for cases with the same output and different mechanisms.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U13,4,To what extent can the upper limit of imitation performance be suppressed by causal evaluation?,"To limit the upper bound on imitation performance, causal evaluation must be incorporated into the final decision.",https://doi.org/10.1609/aaai.v39i17.33998,https://doi.org/10.1016/j.knosys.2025.113565,,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,Added draft mock-up isolation bench design to verification.md,"Add a judgment rule to U13 RQ4 that says ""imitation score alone will not pass the test"".",Person in charge: Evaluation Design WG. Assumption: Causal evaluation KPI agreement. Completion conditions: Unified Judgment Rules v1 released.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U13,5,"When the same decoder is used for visual perception and visual recall, where do the patterns of deterioration in semantic restoration accuracy diverge?","When the same decoder is used for perception and recall, it is becoming possible to conduct comparative experiments that determine the point of deterioration.",https://doi.org/10.1109/EMBC58623.2025.11251641,https://doi.org/10.1109/EMBC53108.2024.10782730,,Imitation-causal dissociation index; Leak detection rate; Counterfactual consistency; ID collision rate; Responsibility tracing rate,Added draft mock-up isolation bench design to verification.md,"U13 Add separate comparison columns for ""perception conditions"" and ""recall conditions"" to RQ5.",Person in charge: Experimental team. Premise: Two-condition measurement on the same subject. Completion condition: Deterioration branching point report published.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U13,6,"How to design a control experiment to separately detect prompt induction, data leaks, and shortcut learning.","Prompted guidance, data leaks, and shortcut learning cannot be detected separately unless the control conditions are fixed.",https://arxiv.org/abs/2506.22486,https://doi.org/10.1038/s42256-020-00257-z,,Imitation-causal divergence index; leak detection rate; counterfactual consistency; leak detection rate; cross-validation divergence,Added draft mock-up isolation bench design to verification.md,"Add columns for ""leak detection rate"" and ""control experiment concordance rate"" to U13 RQ6.",Person in charge: ML evaluation team. Prerequisites: Controlled experimental design approval. Completion condition: Publication of the reproduction results of leak separation detection.,"Medium (method progress, lack of neural decoding integration)",research_deepening_round6_2026-03-01.md#u13
U14,1,To what extent do you require fixed granularity of data/code/evaluation environment?,"Increasing the fixed granularity of data/code/environment increases reproducibility, but also increases operational costs.",https://doi.org/10.1016/j.jneumeth.2023.109931,https://doi.org/10.1038/s41597-024-03559-8,,Reproduction success rate; environment fixation rate; failure reproduction time,Add supplementary exam failure registry template to issue.md,"Add the ""Minimum items to be fixed (data/code/environment)"" check field to U14 RQ1.",Person in charge: Reproducibility WG. Prerequisite: Container operations agreement. Completion Conditions: Operational approval of a minimum fixed set.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U14,2,How to operationally separate exploratory research and validation research.,"In order to separate exploratory research and validation research in operation, it is necessary to separate pre-registration and report templates.",https://doi.org/10.7554/eLife.85980,https://doi.org/10.1001/jama.2025.13350,,Reproduction success rate; environment fixation rate; failure reproduction time,Add supplementary exam failure registry template to issue.md,"Add report template separation columns for ""exploration"" and ""verification"" to U14 RQ2.",In charge: Operations WG. Assumption: Pre-registration operation agreement. Completion condition: Formal operation of two-line template.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U14,3,"How to audit leaks, overfitting, and reporting bias on leaderboards.",Leaderboard audits need to measure data leaks and overfitting separately.,https://doi.org/10.1038/s41597-023-02614-0,https://doi.org/10.1002/epi4.12704,,Reproduction success rate; environment fixation rate; failure reproduction time; leak detection rate; cross-validation deviation,Add supplementary exam failure registry template to issue.md,"Add ""leak detection rate"" and ""external test deviation rate"" to U14 RQ3.",In charge: Bench operation WG. Prerequisite: Securing external evaluation data. Completion conditions: Periodic audit report published.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U14,4,How to integrate the Model Card/Dataset Card into the evaluation contract.,Integrating the Model Card/Dataset Card into the evaluation contract increases accountability during reanalysis.,https://bids-specification.readthedocs.io/en/stable/,https://zenodo.org/records/18201723,,Reproduction success rate; environment fixation rate; failure reproduction time,Add supplementary exam failure registry template to issue.md,"Add the ""Model Card/Dataset Card submission status"" field to U14 RQ4.",Person in charge: Data Publication WG. Prerequisite: Submission template approval. Completion conditions: 100% submission for all open projects.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U14,5,How to publish failed reproduction cases as a negative example registry and operate the retry cycle.,"If you do not accumulate reproduction failures as negative examples, the same failures will be repeated.",https://doi.org/10.1016/j.jneumeth.2023.109931,https://doi.org/10.7554/eLife.85980,,Reproduction success rate; environment fixation rate; failure reproduction time,Add supplementary exam failure registry template to issue.md,"Add ""Negative example registry ID"" field to U14 RQ5.",Person in charge: Reproducibility WG. Assumption: Failure disclosure policy. Completion condition: Failed regular registry update.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U14,6,"If container fixation (OS, dependent libraries, random number seeds) is made mandatory, how much increase in reproduction cost can be tolerated?","Fixed containers are effective for reproducibility, but the upper limit of computational resources and time costs must be determined first.",https://arxiv.org/abs/2311.04912,https://doi.org/10.1038/s41597-024-03559-8,,Reproduction success rate; environment fixation rate; failure reproduction time,Add supplementary exam failure registry template to issue.md,"Add ""Reproduction cost upper limit (time/calculation)"" column to U14 RQ6.",In charge: Infrastructure WG. Assumption: Setting a budget cap. Completion conditions: Reproduction operation approval with cost cap.,"Medium to high (progress in standardization, lack of failure disclosure and operation)",research_deepening_round6_2026-03-01.md#u14
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?","Neural data is more sensitive than normal personal data, and must be handled with explicit legal concepts.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,https://doi.org/10.1016/S1474-4422(25)00124-3,,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Add system integration KPI matrix to proposals.md,"Add the ""Legal concept mapping (individual/biological/nervous)"" column to U15 RQ1.",Person in charge: Legal WG. Premise: Definitions organized by jurisdiction. Completion condition: Approval of legal concept comparison table.,"High (official standards are clear, applicable detailed regulations are lacking)",research_deepening_round6_2026-03-01.md#u15
U15,2,How should neurorights be mapped onto technical audit items?,"Neurorights needs to be reflected not only in philosophy but also in audit items (logs, accountability, suspension conditions).",https://doi.org/10.1093/jhuman/huae042,https://doi.org/10.6028/NIST.AI.600-1,,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Add system integration KPI matrix to proposals.md,"Add ""neurorights audit checklist"" field to U15 RQ2.",Responsible: Audit WG. Prerequisite: Check item agreement. Completion conditions: Audit form v1 released.,"High (official standards are clear, applicable detailed regulations are lacking)",research_deepening_round6_2026-03-01.md#u15
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?","For minimum common application across jurisdictional differences, it is realistic to first fix the common parts of EU law, international principles, and treaties.",https://oecd.ai/en/ai-principles,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,,Legal compliance rate; Outage criteria activation time; Audit trail completeness; Jurisdictional coverage; Interoperability rate,Add system integration KPI matrix to proposals.md,"Add the ""Common Requirements (Minimum Operation)"" column to U15 RQ3.",Responsible for: Governance Committee. Premise: Jurisdictional Comparative Review. Conditions of Completion: Approval of Minimum Common Operating Specifications.,"High (official standards are clear, applicable detailed regulations are lacking)",research_deepening_round6_2026-03-01.md#u15
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Suspension conditions and renewal conditions can only be implemented by linking system documents and technical KPIs.,https://www.iso.org/standard/42001,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Add system integration KPI matrix to proposals.md,"Add ""Stop Trigger KPI"" and ""Update Trigger KPI"" to U15 RQ4.",Responsible for: Governance Committee. Assumption: Agreed KPI thresholds. Completion conditions: Approval of suspension/renewal operations.,"High (official standards are clear, applicable detailed regulations are lacking)",research_deepening_round6_2026-03-01.md#u15
