uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency,primary_sources,evidence_confidence
U3,3,How can we quantify the functions lost in a model in which the body-environment coupling is removed?,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
U3,4,How can the determination of the ``minimum required configuration'' be determined based on data rather than theoretical assertions?,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
U3,5,To what extent do prediction accuracy and explainability improve when including the glymphatic/meningeal lymphatic system?,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
U3,6,At what point does a model that excludes immune surveillance (meningeal immune/inflammatory signals) fail in long-term prediction?,Prediction improvement rate (ΔR2); Extrapolation performance; Component ablation loss; Exclusion judgment match rate; Data retention rate,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
U4,1,What are the identification conditions that lift the correlation derived from observational data into a causal graph?,Intervention effect concordance rate; causal recall rate; falsification rate,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,"Medium (methodology available, intervention standards insufficient)"
U4,2,"What is the minimal causal claim that can be verified through intervention experiments (stimulation, inhibition, input disturbance)?",Intervention effect concordance rate; causal recall rate; falsification rate; intervention effect size; do estimation error,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,"Medium (methodology available, intervention standards insufficient)"
U4,3,How do we connect the theoretical predictions of active inference and DCM to counterfactual evaluation?,Intervention effect concordance rate; causal recall rate; falsification rate; counterfactual consistency score,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,"Medium (methodology available, intervention standards insufficient)"
U4,4,At what level should the failure condition (falsification) of equivalence judgment be declared?,Intervention effect concordance rate; causal recall rate; falsification rate,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report",https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120684 | https://doi.org/10.1109/TNSRE.2021.3123964,"Medium (methodology available, intervention standards insufficient)"
U7,1,"To what extent should synchronization, QC, and stimulation logs be required with BIDS expansion?",Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U7,2,Is it possible to reduce time synchronization errors such as LSL to verifiable indicators?,Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U7,3,"How to audit the impact of differences in artifact removal settings (ASR, ZapLine, etc.) on results?",Time lag (ms); Modality consistency rate; QC passing rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U7,4,How to fix remeasurement/exclusion criteria when inter-modality alignment fails.,Time lag (ms); Modality consistency rate; QC passing rate; Exclusion judgment agreement rate; Data retention rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U7,5,"When automatically comparing preprocessing differences using CI, what reduction in recall rate should be used as the release block threshold?",Time lag (ms); Modality consistency rate; QC passing rate; Threshold sensitivity; ROC-AUC,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U7,6,What is the minimum set of observations that can maintain equivalent conclusions even under modality-defective (EEG-defective/fMRI-deficit) conditions?,Time lag (ms); Modality consistency rate; QC passing rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold",https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.3389/fnrgo.2024.1411305 | https://arxiv.org/abs/2311.04912 | https://pubmed.ncbi.nlm.nih.gov/34214093/,"Medium to high (progress in standardization, insufficient threshold design)"
U8,1,How to identify the delay tolerance range of closed-loop BCI from a control theory perspective.,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U8,2,How to incorporate online calibration and concept drift countermeasures.,Stability margin; anomaly detection recall rate; failsafe activation rate; drift rate; relearning frequency,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U8,3,Which index should be used to evaluate stability across individual differences and diurnal fluctuations?,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U8,4,How to incorporate anomaly detection and failsafe into the evaluation contract.,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U8,5,"When introducing human override, how do you turn malfunction rate and recovery time into KPIs?",Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U8,6,How to optimize the relearning frequency in weekly to monthly scale operations by making a trade-off between performance degradation and safety margins.,Stability margin; Abnormality detection recall rate; Fail-safe operation rate; Optimum relearning interval; Deterioration rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation",https://doi.org/10.1038/s41591-024-03196-z | https://doi.org/10.1038/s41531-025-01124-7 | https://doi.org/10.1093/brain/awad429 | https://doi.org/10.1038/s41551-025-01438-0,"Medium to high (clinical progress, lack of long-term generalization)"
U10,1,How to apply/interpret the Landauer lower bound in neural computation.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,"Medium (theoretical lead, lack of actual measurements)"
U10,2,How to define the correspondence between nonequilibrium thermodynamic index and neural information processing efficiency.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,"Medium (theoretical lead, lack of actual measurements)"
U10,3,How can we create an observation design that translates theoretical formulas into actual data (neural activity/metabolism)?,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,"Medium (theoretical lead, lack of actual measurements)"
U10,4,How to integrate thermodynamic constraints into WBE calculation cost evaluation.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement",https://doi.org/10.3390/e26090779 | https://doi.org/10.1103/PhysRevE.107.024121 | https://arxiv.org/abs/2502.03603,"Medium (theoretical lead, lack of actual measurements)"
U11,1,How do we define input/output specifications that are comparable between theories?,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,"Medium to high (comparative experiment progress, lack of unified judgment)"
U11,2,How to deal with computational complexity constraints for PCI and IIT approximate calculations.,Discrimination power between theories; indicator calculation cost; false positives/false negatives; calculation time; memory usage,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,"Medium to high (comparative experiment progress, lack of unified judgment)"
U11,3,How can we reduce the conflicting points of theoretical predictions to a single experimental design?,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,"Medium to high (comparative experiment progress, lack of unified judgment)"
U11,4,How to clarify failure conditions when using awareness indicators in clinical/research settings.,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories",https://www.nature.com/articles/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577 | https://doi.org/10.1093/nc/niad016 | https://doi.org/10.1016/j.brs.2023.01.731,"Medium to high (comparative experiment progress, lack of unified judgment)"
U12,1,On what basis should identifiers be assigned to post-branch entities?,Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Identity collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; Time lag (ms); Jitter variance; ID collision rate; Responsibility tracing rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1",https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,"Medium (legislative system debate, lack of operating regulations)"
U13,1,Can brain-to-text success be broken down into ``semantic restoration'' and ``causal reproduction''?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
U13,2,How to connect LLM's hallucination/consistency test to neural decoding evaluation.,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
U13,3,How can we detect cases where the internal mechanism is different even though the output is the same?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
U13,4,To what extent can the upper limit of imitation performance be suppressed by causal evaluation?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
U13,5,"When the same decoder is used for visual perception and visual recall, where do the patterns of deterioration in semantic restoration accuracy diverge?",Imitation-causal dissociation index; Leak detection rate; Counterfactual consistency; ID collision rate; Responsibility tracing rate,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
U13,6,"How to design a control experiment to separately detect prompt induction, data leaks, and shortcut learning.",Imitation-causal divergence index; leak detection rate; counterfactual consistency; leak detection rate; cross-validation divergence,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication",https://doi.org/10.3390/e26070556 | https://doi.org/10.1609/aaai.v39i27.35124 | https://doi.org/10.1609/aaai.v39i17.33998 | https://arxiv.org/abs/2409.19363,"Medium (method progress, lack of neural decoding integration)"
