uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U7,5,"When automatically comparing preprocessing differences using CI, what reduction in recall rate should be used as the release block threshold?","If you want to use preprocessing differences in CI, you need to fix the rate of decline at which to stop using a numerical value.",https://bids-specification.readthedocs.io/en/stable/,https://doi.org/10.1109/TBME.2024.3383142,,Time lag (ms); Modality consistency rate; QC passing rate; Threshold sensitivity; ROC-AUC,Specify BIDS required metadata audit items in datasets.md,"Add a field to set ""Release block threshold (recall rate reduction %)"" to U7 RQ5.",Responsible: CI operations team. Assumptions: Fixed baseline experiment. Completion condition: Confirm automatic block operation in case of failure.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
U7,6,What is the minimum set of observations that can maintain equivalent conclusions even under modality-defective (EEG-defective/fMRI-deficit) conditions?,Whether the conclusion holds under modality missing requires testing the minimum observation set with publicly available data.,https://doi.org/10.3389/fnrgo.2024.1411305,https://doi.org/10.1515/revneuro-2023-0098,,Time lag (ms); Modality consistency rate; QC passing rate,Specify BIDS required metadata audit items in datasets.md,Add a deficit simulation column (EEG deficit/fMRI deficit) to U7 RQ6.,Person in charge: Analysis WG. Assumption: Deficit experimental design. Completion condition: Publish conclusion retention rate with minimum observation set.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
U11,1,How do we define input/output specifications that are comparable between theories?,"The essence of theoretical comparison is to ``compare using the same input,'' and if each theory uses different data, it will not be possible to compare the conclusions.",https://doi.org/10.1038/s41586-025-08888-1,https://doi.org/10.1371/journal.pone.0268577,,Discrimination power between theories; index calculation cost; false positives/false negatives,Added input specification template for theoretical comparison to verification.md,"Add a mandatory check field for ""Common input specifications"" to U11 RQ1.",Person in charge: Consciousness Research WG. Prerequisites: Pre-registration agreement. Completion condition: Publication of same-condition comparison results.,"Medium to high (comparative experiment progress, lack of unified judgment)",research_deepening_round5_2026-03-01.md#u11
U11,2,How to deal with computational complexity constraints for PCI and IIT approximate calculations.,"PCI/IIT is computationally expensive, and if approximate calculations are used, the scope of application must be clearly specified.",https://doi.org/10.1093/nc/niad016,https://doi.org/10.3390/e25020334,,Discrimination power between theories; indicator calculation cost; false positives/false negatives; calculation time; memory usage,Added input specification template for theoretical comparison to verification.md,"Add a column to U11 RQ2 to record ""calculation time"", ""approximation conditions"", and ""non-applicable conditions"".",Person in charge: Analysis WG. Assumption: Agreed computational resource constraints. Completion condition: Report showing the validity range of the approximation.,"Medium to high (comparative experiment progress, lack of unified judgment)",research_deepening_round5_2026-03-01.md#u11
U11,3,How can we reduce the conflicting points of theoretical predictions to a single experimental design?,Conflicting points between theories will be interpreted later if they are not first fixed by reducing them to a single experimental design.,https://doi.org/10.1038/s41586-025-08888-1,https://doi.org/10.1371/journal.pone.0268577,,Discrimination power between theories; index calculation cost; false positives/false negatives,Added input specification template for theoretical comparison to verification.md,"U11 Add the ""Prior fixation of conflict prediction"" column to RQ3.",Person in charge: Experimental Design WG. Premise: agreement among theory representatives. Completion conditions: Conducting a pre-registered comparison experiment.,"Medium to high (comparative experiment progress, lack of unified judgment)",research_deepening_round5_2026-03-01.md#u11
U11,4,How to clarify failure conditions when using awareness indicators in clinical/research settings.,"In clinical operations, it is necessary to specify the failure conditions (false positive/false negative) in advance when the index deviates.",https://doi.org/10.1186/s12984-024-01455-1,https://doi.org/10.1016/j.neuron.2024.03.002,,Discrimination power between theories; index calculation cost; false positives/false negatives,Added input specification template for theoretical comparison to verification.md,"Add a minimum reporting field for ""false positive rate/false negative rate"" to U11 RQ4.",Person in charge: Clinical Research WG. Prerequisite: Clinical evaluation protocol approval. Completion conditions: Publication of operating procedures including failure conditions.,"Medium to high (comparative experiment progress, lack of unified judgment)",research_deepening_round5_2026-03-01.md#u11
U12,1,On what basis should identifiers be assigned to post-branch entities?,Post-branch entity IDs should be tied to legal liability tracking as well as technical IDs.,https://doi.org/10.1016/j.patter.2023.100861,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,,Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate,Add branch identity audit data item to issue.md,"Add the ""Responsibility tracing rules in case of ID collision"" column to U12 RQ1.",Person in charge: Legal/Governance WG. Premise: Jurisdictional arrangement. Completion condition: Tracking rule approval.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?","The point of inheritance of responsibilities, rights, and consent must be clearly defined as a legal event or it will fail in operation.",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,,Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Add branch identity audit data item to issue.md,"Add ""Inheritance time stamp"" to U12 RQ2 as a required field.",Person in charge: Legal WG. Prerequisite: Inherited event definition. Completion conditions: Preparation of ledger that can be tracked by legal audit.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,"In cases where there is a discrepancy between psychological continuity and legal individuality, it is first necessary to have conflict resolution rules.",https://doi.org/10.1111/bioe.70045,https://doi.org/10.1007/s00146-025-02796-8,,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Add branch identity audit data item to issue.md,"Add the ""Arbitration route when standards do not match"" column to U12 RQ3.",Person in charge: Ethics and Legal Affairs WG. Prerequisite: Agreement on dispute resolution procedures. Completion conditions: Publication of adjudication procedures.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,"Since technical performance and personality attribution are separate axes, it is more practical to manage evaluation reports separately.",https://doi.org/10.1016/j.patter.2023.100861,https://www.iso.org/standard/42001,,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Add branch identity audit data item to issue.md,"Two columns will be added to U12 RQ4: ""Performance KPI"" and ""Attribution KPI"".",Responsible for: Governance Committee. Prerequisite: Approval of KPI system. Completion conditions: Start of dual-system auditing.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?","If memory editing/resynchronization is to occur, the conditions for reorganization of legal entity IDs must be determined first.",https://doi.org/10.1007/s00146-025-02796-8,https://oecd.ai/en/ai-principles,,Identity collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; Time lag (ms); Jitter variance; ID collision rate; Responsibility tracing rate,Add branch identity audit data item to issue.md,"Add ""Reorganization trigger condition"" and ""Post-reorganization audit ID"" columns to U12 RQ5.",Person in charge: Legal/Operations WG. Premise: Draft ID restructuring policy. Completion condition: Verification of reorganization audit log completed.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Revocation of privileges when consent is withdrawn requires both technical implementation (key management and auditing) and institutional requirements to be met at the same time.,https://doi.org/10.6028/NIST.AI.600-1,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,,Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Add branch identity audit data item to issue.md,"U12 Add audit columns for RQ6 for ""Delay in reflection of withdrawal"" and ""Remaining authority rate"".",Person in charge: Security/Legal WG. Assumptions: Key management design. Completion conditions: Confirmed that 0 items remained in the audit at the time of withdrawal.,"Medium (legislative system debate, lack of operating regulations)",research_deepening_round5_2026-03-01.md#u12
