uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency
U3,6,At what point does a model that excludes immune surveillance (meningeal immune/inflammatory signals) fail in long-term prediction?,Prediction improvement rate (ΔR2); Extrapolation performance; Component ablation loss; Exclusion judgment match rate; Data retention rate,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component"
U4,1,What are the identification conditions that lift the correlation derived from observational data into a causal graph?,Intervention effect concordance rate; causal recall rate; falsification rate,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,2,"What is the minimal causal claim that can be verified through intervention experiments (stimulation, inhibition, input disturbance)?",Intervention effect concordance rate; causal recall rate; falsification rate; intervention effect size; do estimation error,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,3,How do we connect the theoretical predictions of active inference and DCM to counterfactual evaluation?,Intervention effect concordance rate; causal recall rate; falsification rate; counterfactual consistency score,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,4,At what level should the failure condition (falsification) of equivalence judgment be declared?,Intervention effect concordance rate; causal recall rate; falsification rate,Time series data with intervention log,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U7,1,"To what extent should synchronization, QC, and stimulation logs be required with BIDS expansion?",Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,2,Is it possible to reduce time synchronization errors such as LSL to verifiable indicators?,Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,3,"How to audit the impact of differences in artifact removal settings (ASR, ZapLine, etc.) on results?",Time lag (ms); Modality consistency rate; QC passing rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,4,How to fix remeasurement/exclusion criteria when inter-modality alignment fails.,Time lag (ms); Modality consistency rate; QC passing rate; Exclusion judgment agreement rate; Data retention rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,5,"When automatically comparing preprocessing differences using CI, what reduction in recall rate should be used as the release block threshold?",Time lag (ms); Modality consistency rate; QC passing rate; Threshold sensitivity; ROC-AUC,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,6,What is the minimum set of observations that can maintain equivalent conclusions even under modality-defective (EEG-defective/fMRI-deficit) conditions?,Time lag (ms); Modality consistency rate; QC passing rate,BIDS compliant multimodal data,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U8,1,How to identify the delay tolerance range of closed-loop BCI from a control theory perspective.,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U8,2,How to incorporate online calibration and concept drift countermeasures.,Stability margin; anomaly detection recall rate; failsafe activation rate; drift rate; relearning frequency,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U8,3,Which index should be used to evaluate stability across individual differences and diurnal fluctuations?,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U8,4,How to incorporate anomaly detection and failsafe into the evaluation contract.,Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U8,5,"When introducing human override, how do you turn malfunction rate and recovery time into KPIs?",Stability margin; abnormality detection recall rate; failsafe operation rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U8,6,How to optimize the relearning frequency in weekly to monthly scale operations by making a trade-off between performance degradation and safety margins.,Stability margin; Abnormality detection recall rate; Fail-safe operation rate; Optimum relearning interval; Deterioration rate,Closed-loop long-term log,Add closed loop safety KPI table to verification.md,"Person in charge: Clinical/Safety Team, Prerequisites: Ethics review, Completion conditions: Publication of weekly to monthly scale safety evaluation"
U10,1,How to apply/interpret the Landauer lower bound in neural computation.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,2,How to define the correspondence between nonequilibrium thermodynamic index and neural information processing efficiency.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,3,How can we create an observation design that translates theoretical formulas into actual data (neural activity/metabolism)?,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,4,How to integrate thermodynamic constraints into WBE calculation cost evaluation.,Energy consumption/bit; Dissipation estimation error; Thermal constraint violation rate,Simultaneous measurement of neural activity and metabolism,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U11,1,How do we define input/output specifications that are comparable between theories?,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,2,How to deal with computational complexity constraints for PCI and IIT approximate calculations.,Discrimination power between theories; indicator calculation cost; false positives/false negatives; calculation time; memory usage,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,3,How can we reduce the conflicting points of theoretical predictions to a single experimental design?,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,4,How to clarify failure conditions when using awareness indicators in clinical/research settings.,Discrimination power between theories; index calculation cost; false positives/false negatives,Common tasks/common stimulus data,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U12,1,On what basis should identifiers be assigned to post-branch entities?,Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Same ID collision rate; Completeness of liability tracking; Delay in reflecting consent withdrawal,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Identity collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; Time lag (ms); Jitter variance; ID collision rate; Responsibility tracing rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Same ID collision rate; Responsibility tracing completeness; Consent withdrawal reflection delay; ID collision rate; Responsibility tracing rate; Revocation reflection delay; Authority residual rate,Branch event audit log,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U13,1,Can brain-to-text success be broken down into ``semantic restoration'' and ``causal reproduction''?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,2,How to connect LLM's hallucination/consistency test to neural decoding evaluation.,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,3,How can we detect cases where the internal mechanism is different even though the output is the same?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,4,To what extent can the upper limit of imitation performance be suppressed by causal evaluation?,Imitation-causal dissociation index; leak detection rate; counterfactual consistency,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,5,"When the same decoder is used for visual perception and visual recall, where do the patterns of deterioration in semantic restoration accuracy diverge?",Imitation-causal dissociation index; Leak detection rate; Counterfactual consistency; ID collision rate; Responsibility tracing rate,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,6,"How to design a control experiment to separately detect prompt induction, data leaks, and shortcut learning.",Imitation-causal divergence index; leak detection rate; counterfactual consistency; leak detection rate; cross-validation divergence,brain-to-text + intervention/control data,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U14,1,To what extent do you require fixed granularity of data/code/evaluation environment?,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,2,How to operationally separate exploratory research and validation research.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,3,"How to audit leaks, overfitting, and reporting bias on leaderboards.",Reproduction success rate; environment fixation rate; failure reproduction time; leak detection rate; cross-validation deviation,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,4,How to integrate the Model Card/Dataset Card into the evaluation contract.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,5,How to publish failed reproduction cases as a negative example registry and operate the retry cycle.,Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,6,"If container fixation (OS, dependent libraries, random number seeds) is made mandatory, how much increase in reproduction cost can be tolerated?",Reproduction success rate; environment fixation rate; failure reproduction time,Data/Code/Environment Fixed Public Set,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions"
U15,2,How should neurorights be mapped onto technical audit items?,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions"
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Legal compliance rate; Outage criteria activation time; Audit trail completeness; Jurisdictional coverage; Interoperability rate,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions"
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Legal compliance rate; Stop criteria activation time; Audit trail completeness,Integrated ledger of technical KPI + legal KPI,Add system integration KPI matrix to proposals.md,"Responsible for: Governance Committee, Prerequisites: Jurisdictional mapping, Completion conditions: Operational approval of audit criteria and suspension conditions"
