uid,rq_index,supplementary_1,domain,source_class,quality_grade,assessment_note,recommended_action,basis
U7,3,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U7,4,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U7,5,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U7,6,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U8,1,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U8,2,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U8,3,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U8,4,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U8,5,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U8,6,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U10,1,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U10,2,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U10,3,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U10,4,https://arxiv.org/abs/2502.03603,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U11,1,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U11,2,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U11,3,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U11,4,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,1,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,2,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,3,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,4,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,5,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U12,6,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,1,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,2,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,3,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,4,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,5,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U13,6,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U14,1,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U14,2,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U14,3,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U14,4,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U14,5,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U14,6,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U15,1,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,Effective as a basis for systems and standards,Maintain,Automatic classification based on URL type (Round 13)
U15,2,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,Effective as a basis for systems and standards,Maintain,Automatic classification based on URL type (Round 13)
U15,3,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,Effective as a basis for systems and standards,Maintain,Automatic classification based on URL type (Round 13)
U15,4,https://oecd.ai/ai-principles/,oecd.ai,official_policy_or_standard,A,Effective as a basis for systems and standards,Maintain,Automatic classification based on URL type (Round 13)
