uid,rq_index,rq_text,must_read_1,must_read_1_tier,must_read_2,must_read_2_tier,supplementary_1,supplementary_1_tag,supplementary_1_tier,reading_track,layering_rule
U3,3,How can we quantify the functions lost in a model in which the body-environment coupling is removed?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U3,4,How can the determination of the ``minimum required configuration'' be determined based on data rather than theoretical assertions?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U3,5,To what extent do prediction accuracy and explainability improve when including the glymphatic/meningeal lymphatic system?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U3,6,At what point does a model that excludes immune surveillance (meningeal immune/inflammatory signals) fail in long-term prediction?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U4,1,What are the identification conditions that lift the correlation derived from observational data into a causal graph?,https://doi.org/10.1038/s41583-024-00881-3,must,https://doi.org/10.1016/j.neuroimage.2024.120684,must,https://doi.org/10.1109/TNSRE.2021.3123964,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U4,2,"What is the minimal causal claim that can be verified through intervention experiments (stimulation, inhibition, input disturbance)?",https://doi.org/10.1038/s41583-024-00881-3,must,https://doi.org/10.1016/j.neuroimage.2024.120684,must,https://doi.org/10.1109/TNSRE.2021.3123964,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U4,3,How do we connect the theoretical predictions of active inference and DCM to counterfactual evaluation?,https://doi.org/10.1038/s41583-024-00881-3,must,https://doi.org/10.1016/j.neuroimage.2024.120684,must,https://doi.org/10.1109/TNSRE.2021.3123964,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U4,4,At what level should the failure condition (falsification) of equivalence judgment be declared?,https://doi.org/10.1038/s41583-024-00881-3,must,https://doi.org/10.1016/j.neuroimage.2024.120684,must,https://doi.org/10.1109/TNSRE.2021.3123964,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,1,"To what extent should synchronization, QC, and stimulation logs be required with BIDS expansion?",https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,2,Is it possible to reduce time synchronization errors such as LSL to verifiable indicators?,https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,3,"How to audit the impact of differences in artifact removal settings (ASR, ZapLine, etc.) on results?",https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,4,How to fix remeasurement/exclusion criteria when inter-modality alignment fails.,https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,5,"When automatically comparing preprocessing differences using CI, what reduction in recall rate should be used as the release block threshold?",https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U7,6,What is the minimum set of observations that can maintain equivalent conclusions even under modality-defective (EEG-defective/fMRI-deficit) conditions?,https://bids-specification.readthedocs.io/en/stable/,must,https://doi.org/10.3389/fnrgo.2024.1411305,must,https://doi.org/10.1162/imag.a.136,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,1,How to identify the delay tolerance range of closed-loop BCI from a control theory perspective.,https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,2,How to incorporate online calibration and concept drift countermeasures.,https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,3,Which index should be used to evaluate stability across individual differences and diurnal fluctuations?,https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,4,How to incorporate anomaly detection and failsafe into the evaluation contract.,https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,5,"When introducing human override, how do you turn malfunction rate and recovery time into KPIs?",https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U8,6,How to optimize the relearning frequency in weekly to monthly scale operations by making a trade-off between performance degradation and safety margins.,https://doi.org/10.1038/s41591-024-03196-z,must,https://doi.org/10.1038/s41531-025-01124-7,must,https://doi.org/10.1093/brain/awad429,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U10,1,How to apply/interpret the Landauer lower bound in neural computation.,https://doi.org/10.3390/e26090779,must,https://doi.org/10.1103/PhysRevE.107.024121,must,https://doi.org/10.1016/j.tics.2024.03.009,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U10,2,How to define the correspondence between nonequilibrium thermodynamic index and neural information processing efficiency.,https://doi.org/10.3390/e26090779,must,https://doi.org/10.1103/PhysRevE.107.024121,must,https://doi.org/10.1016/j.tics.2024.03.009,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U10,3,How can we create an observation design that translates theoretical formulas into actual data (neural activity/metabolism)?,https://doi.org/10.3390/e26090779,must,https://doi.org/10.1103/PhysRevE.107.024121,must,https://doi.org/10.1016/j.tics.2024.03.009,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U10,4,How to integrate thermodynamic constraints into WBE calculation cost evaluation.,https://doi.org/10.3390/e26090779,must,https://doi.org/10.1103/PhysRevE.107.024121,must,https://doi.org/10.1016/j.tics.2024.03.009,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U11,1,How do we define input/output specifications that are comparable between theories?,https://www.nature.com/articles/s41586-025-08888-1,must,https://doi.org/10.1371/journal.pone.0268577,must,https://doi.org/10.1093/nc/niad016,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U11,2,How to deal with computational complexity constraints for PCI and IIT approximate calculations.,https://www.nature.com/articles/s41586-025-08888-1,must,https://doi.org/10.1371/journal.pone.0268577,must,https://doi.org/10.1093/nc/niad016,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U11,3,How can we reduce the conflicting points of theoretical predictions to a single experimental design?,https://www.nature.com/articles/s41586-025-08888-1,must,https://doi.org/10.1371/journal.pone.0268577,must,https://doi.org/10.1093/nc/niad016,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U11,4,How to clarify failure conditions when using awareness indicators in clinical/research settings.,https://www.nature.com/articles/s41586-025-08888-1,must,https://doi.org/10.1371/journal.pone.0268577,must,https://doi.org/10.1093/nc/niad016,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,1,On what basis should identifiers be assigned to post-branch entities?,https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",https://doi.org/10.1016/j.patter.2023.100861,must,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,1,Can brain-to-text success be broken down into ``semantic restoration'' and ``causal reproduction''?,https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,2,How to connect LLM's hallucination/consistency test to neural decoding evaluation.,https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,3,How can we detect cases where the internal mechanism is different even though the output is the same?,https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,4,To what extent can the upper limit of imitation performance be suppressed by causal evaluation?,https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,5,"When the same decoder is used for visual perception and visual recall, where do the patterns of deterioration in semantic restoration accuracy diverge?",https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U13,6,"How to design a control experiment to separately detect prompt induction, data leaks, and shortcut learning.",https://doi.org/10.3390/e26070556,must,https://doi.org/10.1609/aaai.v39i27.35124,must,https://doi.org/10.1609/aaai.v39i17.33998,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,1,To what extent do you require fixed granularity of data/code/evaluation environment?,https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,2,How to operationally separate exploratory research and validation research.,https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,3,"How to audit leaks, overfitting, and reporting bias on leaderboards.",https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,4,How to integrate the Model Card/Dataset Card into the evaluation contract.,https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,5,How to publish failed reproduction cases as a negative example registry and operate the retry cycle.,https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U14,6,"If container fixation (OS, dependent libraries, random number seeds) is made mandatory, how much increase in reproduction cost can be tolerated?",https://doi.org/10.1016/j.jneumeth.2023.109931,must,https://bids-specification.readthedocs.io/en/stable/,must,https://zenodo.org/records/18201723,operation,support,operation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://doi.org/10.6028/NIST.AI.600-1,must,https://oecd.ai/ai-principles/,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U15,2,How should neurorights be mapped onto technical audit items?,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://doi.org/10.6028/NIST.AI.600-1,must,https://oecd.ai/ai-principles/,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://doi.org/10.6028/NIST.AI.600-1,must,https://oecd.ai/ai-principles/,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U15,4,How should stop conditions and update conditions be governed as technology evolves?,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,must,https://doi.org/10.6028/NIST.AI.600-1,must,https://oecd.ai/ai-principles/,regulation,support,regulation-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
