qa_id,question,phase_anchor_topic,eeg_data_verdict,deep_reason,grant_theme,recommended_support_type,candidate_programs,eeg_data_slices,candidate_dataset_examples,first_metrics,12_week_deliverable,main_risk
M7,縦断：日内/日間変動に対して“本人性特徴”は安定か？,Phase1: 計測基盤,△,M7 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した縦断：日内/日間変動に対して“本人性特徴”は安定かの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m7_scope_and_gap_note,測定条件の異質性
M8,品質管理：アーチファクト/欠損/ノイズをどう“定量化”して扱う？,Phase1: ノイズ除去・QC,○,M8 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤 の横断比較で12週の再現成果まで到達可能。,公開EEGでの品質管理：アーチファクト/欠損/ノイズをどう“定量化”して扱うの再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,SNR; QC通過率; 再現率,m8_benchmark_v1,測定条件の異質性
M9,標準化：BIDS/メタデータで“他人が追試できる”形にするには？,Phase1: 標準化/BIDS,○,M9 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤; カタログメタデータ の横断比較で12週の再現成果まで到達可能。,公開EEGでの標準化：BIDS/メタデータで“他人が追試できる”形にするにはの再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,SNR; QC通過率; 再現率,m9_benchmark_v1,測定条件の異質性
R0,復元対象の最小セットは？（構造/状態/学習則）,Phase2-4: 再構成,△,R0 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した復元対象の最小セットは（構造/状態/学習則）の条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r0_scope_and_gap_note,同定可能性不足
R1,逆問題：観測（M1）から何が一意に推定できる？,Phase2-4: 再構成,△,R1 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した逆問題：観測（M1）から何が一意に推定できるの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r1_scope_and_gap_note,同定可能性不足
R2,ソース推定：EEGから“どの表現”の脳活動が欲しい？,Phase2-4: 再構成,△,R2 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定したソース推定：EEGから“どの表現”の脳活動が欲しいの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r2_scope_and_gap_note,同定可能性不足
R3,状態推定：潜在状態（latent）をどう定義し、どう検証する？,Phase2-4: 再構成,△,R3 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した状態推定：潜在状態（latent）をどう定義し、どう検証するの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r3_scope_and_gap_note,同定可能性不足
R4,因果：介入に対する反応を予測できるモデルは何？,Phase2-4: 再構成,△,R4 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した因果：介入に対する反応を予測できるモデルは何の条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r4_scope_and_gap_note,同定可能性不足
R5,可塑性：学習則を“入れる/入れない”の境界は？,Phase2-4: 再構成,△,R5 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した可塑性：学習則を“入れる/入れない”の境界はの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r5_scope_and_gap_note,同定可能性不足
R6,個人化：一般モデル＋個人パラメータ？それとも完全に個人別？,Phase2-4: 再構成,△,R6 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した個人化：一般モデル＋個人パラメータそれとも完全に個人別の条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r6_scope_and_gap_note,同定可能性不足
R7,同定可能性：推定は“唯一解”に近づく？不確実性は？,Phase2: 同定可能性限界,×,R7 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、resting/connectivity; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した同定可能性：推定は“唯一解”に近づく不確実性はの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,resting/connectivity; 記憶/注意,Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness / Single-Channel EEG Dataset for Task-Based Mental Workload Analysis / ERP Data from a Longitudinal Working Memory Task in Children With and Without Dyslexia,AUROC; calibration error; 反事実差分,r7_precondition_memo,同定可能性不足
R8,圧縮：どの情報を捨てても“検証基準”は保てる？,Phase2-4: 再構成,△,R8 は一部要件のみ公開EEGで検証できる。強い主張は避け、ERP/P300; resting/connectivity; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した圧縮：どの情報を捨てても“検証基準”は保てるの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,ERP/P300; resting/connectivity; 記憶/注意,Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training / Wireless 32-Channel EEG Recordings During Rest / Transient Topographical Dynamics of the Electroencephalogram Predict Brain Connectivity and Behavioural Responsiveness During Drowsiness,AUROC; calibration error; 反事実差分,r8_scope_and_gap_note,同定可能性不足
R9,監査：モデル差分と失敗例を“残す仕組み”は？,Phase2: 監査運用,○,R9 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤; カタログメタデータ の横断比較で12週の再現成果まで到達可能。,公開EEGでの監査：モデル差分と失敗例を“残す仕組み”はの再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,AUROC; calibration error; 反事実差分,r9_benchmark_v1,同定可能性不足
R10,神経修飾：気分や覚醒度（Volume Transmission）をどう組み込む？,Phase3: 神経修飾 proxy,×,R10 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、感情; 睡眠/意識状態 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した神経修飾：気分や覚醒度（Volume Transmission）をどう組み込むの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,感情; 睡眠/意識状態,A Multisensory EEG Dataset for Emotion Elicitation by Audiovisual-Haptic Stimuli / EEG-Dataset-for-Psychosocial-Stress-TSST-with-Personality-Labels / 101-nights / Physiological Indicators of Driver Sleepiness,AUROC; calibration error; 反事実差分,r10_precondition_memo,同定可能性不足
I0,実行基盤：汎用計算/GPU/HPC/ニューロモーフィックのどれを狙う？,Phase4: 実装,×,I0 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した実行基盤：汎用計算/GPU/HPC/ニューロモーフィックのどれを狙うの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i0_precondition_memo,実装前提が不足
I1,閉ループ：リアルタイムに何msの遅延まで許される？,Phase2: リアルタイム decoding 準備,△,I1 は一部要件のみ公開EEGで検証できる。強い主張は避け、SSVEP; 運動意図 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した閉ループ：リアルタイムに何msの遅延まで許されるの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,SSVEP; 運動意図,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i1_scope_and_gap_note,実装前提が不足
I2,モデル粒度：スパイキング/レート/抽象のどこで戦う？,Phase4: 実装,×,I2 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解したモデル粒度：スパイキング/レート/抽象のどこで戦うの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i2_precondition_memo,実装前提が不足
I3,計算量：メモリ/電力/並列化のボトルネックはどこ？,Phase4: 実装,×,I3 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した計算量：メモリ/電力/並列化のボトルネックはどこの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i3_precondition_memo,実装前提が不足
I4,初期化：モデルの“初期状態”をどう与える？,Phase4: 実装,×,I4 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した初期化：モデルの“初期状態”をどう与えるの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i4_precondition_memo,実装前提が不足
I5,学習とドリフト：学習させるなら“安全な更新”をどう設計する？,Phase4: 実装,×,I5 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した学習とドリフト：学習させるなら“安全な更新”をどう設計するの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i5_precondition_memo,実装前提が不足
I6,身体性：入力/出力（センサー/運動/言語）をどこまで持たせる？,Phase4: 実装,×,I6 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した身体性：入力/出力（センサー/運動/言語）をどこまで持たせるの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i6_precondition_memo,実装前提が不足
I7,再現性：実装差（言語/ハード）で結果が変わらない保証は？,Phase1-2: 実装再現性,△,I7 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 運動意図 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した再現性：実装差（言語/ハード）で結果が変わらない保証はの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 運動意図,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i7_scope_and_gap_note,実装前提が不足
I8,安全：隔離・監視・停止（containment）をどう作る？,Phase4: 実装,×,I8 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した安全：隔離・監視・停止（containment）をどう作るの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i8_precondition_memo,実装前提が不足
I9,熱力学：デジタル基盤で“意識の物理的コスト”を払えるか？,Phase4: 実装,×,I9 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、SSVEP; 運動意図; 記憶/注意 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した熱力学：デジタル基盤で“意識の物理的コスト”を払えるかの要件定義,loan_or_finance,学生プロジェクト立ち上げ助成~The First Mile~ / 融資・金融支援（橋渡し）,SSVEP; 運動意図; 記憶/注意,An Open Steady-State Visually Evoked Potentials dataset for AR-based Brain-Computer Interfaces / Single-flicker online SSVEP BCI dataset / REH-MI / Motor Imagery Dataset Using Emotiv Insight Device,end-to-end latency; 実装再現率,i9_precondition_memo,実装前提が不足
I10,時間連続性：離散時間(RNN)と連続時間(ODE)のどちらを選ぶ？,Phase2: 時間モデル比較,△,I10 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; 記憶/注意 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した時間連続性：離散時間(RNN)と連続時間(ODE)のどちらを選ぶの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; 記憶/注意,101-nights / Physiological Indicators of Driver Sleepiness / Single-Channel EEG Dataset for Task-Based Mental Workload Analysis / ERP Data from a Longitudinal Working Memory Task in Children With and Without Dyslexia,end-to-end latency; 実装再現率,i10_scope_and_gap_note,実装前提が不足
V0,検証対象：同一性・意識・行動のどれを“工学的に”検証する？,Phase4: 検証,△,V0 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した検証対象：同一性・意識・行動のどれを“工学的に”検証するの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v0_scope_and_gap_note,proxy過大解釈
V1,評価スイート：何を測れば“前進”と言える？（事前登録）,Phase4: 評価スイート設計,○,V1 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤; ERP/P300; 運動意図 の横断比較で12週の再現成果まで到達可能。,公開EEGでの評価スイート：何を測れば“前進”と言える（事前登録）の再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; ERP/P300; 運動意図,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v1_benchmark_v1,proxy過大解釈
V2,因果テスト：刺激/介入で“同じ反応”を出せるか？,Phase4: 検証,△,V2 は一部要件のみ公開EEGで検証できる。強い主張は避け、睡眠/意識状態; ERP/P300; 測定基盤 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した因果テスト：刺激/介入で“同じ反応”を出せるかの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,睡眠/意識状態; ERP/P300; 測定基盤,101-nights / Physiological Indicators of Driver Sleepiness / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,事前登録遵守率; OOD gap; drift,v2_scope_and_gap_note,proxy過大解釈
