phase,topic,q2_goal,task_1,task_2,task_3,q2_deliverable,avoid_point
2,感覚知覚デコーディング,限定知覚課題の比較表を安定版にする,Q1更新版の課題 family を固定する,共有先1つで誤分類条件の見え方を確認する,注記を整える,知覚課題比較表安定版と注記,知覚全体復元と書かない
2,言語/意味デコーディング,最小単位比較表を安定版にして限定課題整理へつなぐ,Q1更新版のラベル定義を固定する,共有先1つで除外条件の妥当性を確認する,短い整理メモを整える,最小単位比較表安定版と整理メモ,思考解読にしない
3,感情状態の推定・分類,粗い状態分類表を安定版にして利用範囲を固定する,Q1更新版の主観ラベル軸を固定する,共有先1つで安全域の説明を確認する,利用範囲メモを整える,感情ラベル頑健性表安定版と利用範囲メモ,感情断定にしない
3,記憶のエンコーディング/検索,記憶proxy表を安定版にして追試軸を固定する,Q1更新版の成功失敗軸を固定する,共有先1つで追試可能性を確認する,追試メモを整える,記憶proxy比較表安定版と追試メモ,記憶内容を読む話にしない
3,注意・ワーキングメモリ,負荷proxy束を安定版にして再利用しやすくする,Q1更新版の複数proxy構成を固定する,共有先1つでdrift条件の妥当性を確認する,driftメモを整える,負荷proxy比較表安定版とdriftメモ,万能指標にしない
3,意思決定過程,proxy表を安定版にして除外解釈の線を固定する,Q1更新版の比較図を固定する,共有先1つで除外解釈の共有を行う,短い除外解釈メモを整える,意思決定proxy表安定版と除外解釈メモ,自由意志論へ流れない
3,社会的認知,最小共同課題表を安定版にして小規模共有へつなぐ,Q1更新版の対象課題を固定する,共有先1つで失敗条件の妥当性を確認する,追試案メモを整える,社会課題最小条件表安定版と追試案メモ,広い社会性判定にしない
3,創造性・問題解決,差分proxy図を安定版にして教材利用へつなぐ,Q1更新版の差分軸を固定する,共有先1つで教材としての読みやすさを確認する,教材注記を整える,創造性proxy図安定版と教材注記,創造性そのものを測れたにしない
3,主観的経験の定量化,自己評定対応表を安定版にして限定利用範囲を固定する,Q1更新版の尺度を固定する,共有先1つで利用範囲の説明を確認する,利用範囲メモを整える,自己評定対応表安定版と利用範囲メモ,経験の完全定量化と書かない
4,意識の神経相関（NCC）定量化,NCC候補表を安定版にして状態差proxy比較へつなぐ,Q1更新版の境界条件を固定する,共有先1つで条件メモの読み違いがないか確認する,条件メモを整える,NCC候補比較図安定版と条件メモ,意識の正体解明としない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,状態分類表を安定版にして施設差比較へつなぐ,Q1更新版の状態ラベルを固定する,共有先1つで外れ条件の扱いを確認する,外れ条件メモを整える,状態分類benchmark表安定版と外れ条件メモ,臨床診断代替にしない
4,統合情報理論(IIT)の実証的検証,IIT proxy表を安定版にして近似テストへつなぐ,Q1更新版の近似指標を固定する,共有先1つで条件差の読み方を確認する,条件メモを整える,IIT proxy比較表安定版と条件メモ,理論証明にしない
4,Global Workspace Theory の検証,GWT候補反応図を安定版にして再現比較へつなぐ,Q1更新版の比較軸を固定する,共有先1つで勝敗表現が消えているか確認する,再現メモを整える,GWT候補反応図安定版と再現メモ,理論の勝敗を決めたとしない
4,意識の連続性と同一性,個人内安定性図を安定版にして状態遷移比較へつなぐ,Q1更新版の安定成分と変動成分を固定する,共有先1つで本人性表現が切れているか確認する,proxyメモを整える,個人内安定性比較図安定版とproxyメモ,本人確認技術にしない
4,mind-upload可能性の理論的枠組み,claim ladder更新版を安定化して評価軸commonsへ流す,Q1更新版の不足要件を固定する,共有先1つで評価軸の読み方を確認する,短い評価メモを整える,claim ladder安定版と評価メモ,mind-upload実現を語らない
