phase,topic,freeze_focus,frozen_unit,freeze_trigger,keep_live_trigger,do_not_freeze,note_line,avoid_point
2,言語/意味デコーディング,語彙条件を凍結して残すこと,語彙条件表1枚,限定条件の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,語彙境界の確認依頼が残る,語彙条件表だけ凍結資産にする,意味読取りの強弁に戻らない
3,感情状態の推定・分類,感情ラベル条件を凍結して残すこと,感情比較表1枚,ラベル条件の参照も更新要請も止まり最小表で足りる,教材や比較用途での参照が続く,ラベル差の確認依頼が残る,感情比較表だけ凍結資産にする,心の読心へ飛ばない
3,記憶のエンコーディング/検索,task 差分を凍結して残すこと,差分図1枚,差分図の参照も更新要請も止まり最小図で足りる,比較用途での参照が続く,課題条件の確認依頼が残る,差分図だけ凍結資産にする,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲を凍結して残すこと,負荷比較表1枚,usable 範囲の参照も更新要請も止まり最小表で足りる,実務用途での参照が続く,window 条件の確認依頼が残る,負荷比較表だけ凍結資産にする,万能な集中度指標にしない
3,意思決定過程,選好 proxy を凍結して残すこと,条件比較図1枚,限定条件の参照も更新要請も止まり最小図で足りる,比較用途での参照が続く,task 差分の確認依頼が残る,条件比較図だけ凍結資産にする,自由意志の決着にしない
3,社会的認知,対人 proxy 条件を凍結して残すこと,条件メモ1枚,条件メモの参照も更新要請も止まり最小メモで足りる,教材用途での参照が続く,課題条件の確認依頼が残る,条件メモだけ凍結資産にする,対人理解の一般論に飛ばない
3,創造性・問題解決,task 差分を凍結して残すこと,task 比較表1枚,proxy 差分の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,proxy 候補の確認依頼が残る,task 比較表だけ凍結資産にする,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応を凍結して残すこと,対応表1枚,対応条件の参照も更新要請も止まり最小表で足りる,教材や比較用途での参照が続く,rating 条件の確認依頼が残る,対応表だけ凍結資産にする,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy を凍結して残すこと,boundary 図1枚,proxy 条件の参照も更新要請も止まり最小図で足りる,教材用途での参照が続く,boundary 条件の確認依頼が残る,boundary 図だけ凍結資産にする,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件を凍結して残すこと,分類比較表1枚,benchmark 条件の参照も更新要請も止まり最小表で足りる,比較用途での参照が続く,評価条件の確認依頼が残る,分類比較表だけ凍結資産にする,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy を凍結して残すこと,proxy 比較表1枚,proxy 条件の参照も更新要請も止まり最小表で足りる,教材用途での参照が続く,算出条件の確認依頼が残る,proxy 比較表だけ凍結資産にする,理論決着の話にしない
4,Global Workspace Theory の検証,ignition proxy 条件を凍結して残すこと,成立条件表1枚,成立条件の参照も更新要請も止まり最小表で足りる,教材用途での参照が続く,task 条件の確認依頼が残る,成立条件表だけ凍結資産にする,理論証明の話にしない
4,意識の連続性と同一性,縦断 proxy を凍結して残すこと,安定性図1枚,縦断条件の参照も更新要請も止まり最小図で足りる,比較用途での参照が続く,個人内条件の確認依頼が残る,安定性図だけ凍結資産にする,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域整理を凍結して残すこと,クレーム階段表1枚,停止条件表の参照も更新要請も止まり最小表で足りる,教材用途での参照が続く,停止条件の確認依頼が残る,クレーム階段表だけ凍結資産にする,実現証明の物語にしない
