phase,topic,pitch_30s,opening_line,closing_line,avoid_point
3,"注意・ワーキングメモリ","注意負荷や作業記憶の公開課題をまたぎ、課題規模と時間ずれに強い指標を調べます。教育や実務に流用する前に、一般化しやすい最小指標を再現手順付きで整理します。","一般化しやすい指標を探ります","再現手順付きの最小指標を残します","集中力を万能評価できると言わない"
3,"意思決定過程","報酬予測やリスク選択の公開脳波から、意思決定を説明する小さな代理指標を比べます。どの比較なら測れて、どこから解釈が危ういかを先に明示し、控えめな結論だけを積み上げます。","まず代理指標と除外条件を決めます","測れる範囲だけを主張します","意思決定理論全体を証明しない"
3,"社会的認知","共同課題や社会的ストレスの公開脳波を用い、再現しやすい社会的認知の代理指標を探ります。大規模応用より先に、少人数でも回る最小実験条件と失敗しやすい条件を整理します。","小さく再現できる条件を探ります","最小実験条件を共有財産にします","社会性を広く判定できると言わない"
3,"創造性・問題解決","ひらめき課題の公開脳波で、再現しやすい事象関連電位の候補を比べます。創造性を定義し切るのではなく、教材化や追試に耐える小さな代理指標を残す方針です。","教材化できる条件から見ます","追試できる代理指標を残します","創造性の本質解明を掲げない"
3,"主観的経験の定量化","痛みや気づきの自己評定と脳波指標を照合し、両者の対応がどの条件で安定するかを調べます。主観を客観化したと言わず、自己評定を補助できる範囲だけを整理します。","自己評定との対応から見ます","補助的に使える条件だけ示します","主観を完全に数値化したと言わない"
4,"意識の神経相関（NCC）定量化","覚醒、眠気、睡眠境界の公開脳波で複雑さ指標や遷移指標を比べ、状態境界に敏感な候補を探します。意識そのものの答えではなく、状態差を安定に拾う代理指標の整理を目指します。","状態境界に敏感な指標を探します","候補指標の再現範囲を残します","意識の正体を解明したと言わない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","覚醒、睡眠、麻酔、意識障害関連の公開脳波に同じ分類条件を当て、状態分類の基準線を作ります。まず比較可能な枠組みを整え、過大な診断主張を避けたベンチマークに徹します。","まず状態分類の条件を揃えます","診断前の基準線を整えます","臨床診断が完成したと言わない"
4,"統合情報理論(IIT)の実証的検証","睡眠や催眠に近い公開脳波で複雑さ指標を再計算し、理論に近い量がどこまで安定して動くかを見ます。理論の正しさを決めるのでなく、観測可能な差の再現性を確かめます。","まず理論近傍の指標を測り直します","再現する差だけを報告します","理論を証明したと言わない"
4,"Global Workspace Theory の検証","事象関連電位課題の公開データで更新反応の候補を比べ、全域的な共有に近い指標がどこまで再現するかを調べます。理論対決ではなく、観測できる更新反応の条件整理に集中します。","更新反応の候補を揃えて比べます","観測できる条件だけ整理します","理論の決着をつけると言わない"
4,"意識の連続性と同一性","セッションをまたぐ脳波特徴を用い、同じ人で安定する成分と状態で揺れる成分を切り分けます。本人性の証明には踏み込まず、連続性を議論できる最小の比較枠を整える提案です。","個人内で残る成分を測ります","連続性を語れる最小枠を整えます","本人確認技術だと言わない"
4,"mind-upload可能性の理論的枠組み","公開脳波で扱える課題を並べ、どの主張がどの測定と汎化条件に依存するかを段階表にします。実現を断言せず、議論を共有できる評価軸と共通語彙を整えることを目標にします。","主張の段階表を先に作ります","評価軸と共通語彙を整えます","実現可能性を断定しない"
