phase,topic,faq_focus,faq_unit,keep_faq_trigger,close_trigger,do_not_faq,note_line,avoid_point
3,記憶のエンコーディング/検索,encoding条件で繰り返し来る質問をどう最終FAQ化するか,記憶Q&A 1件,encoding/search 条件の確認が繰り返し来る,条件差分が固定され質問も止まる,記憶内容読取りのFAQに化ける,記憶系のFAQは成立条件の1問だけ残す,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,load差分で繰り返し来る質問をどう最終FAQ化するか,load Q&A 1件,負荷差分の確認が繰り返し来る,負荷条件が固定され質問も止まる,全面監視のFAQに化ける,WM系のFAQはload差分の1問だけ残す,全面監視の話にしない
3,意思決定過程,段階差分で繰り返し来る質問をどう最終FAQ化するか,段階Q&A 1件,段階差分の確認が繰り返し来る,段階条件が固定され質問も止まる,自由意思判定のFAQに化ける,意思決定のFAQは段階差分の1問だけ残す,自由意思判定の話へ飛ばない
3,社会的認知,task条件で繰り返し来る質問をどう最終FAQ化するか,social task Q&A 1件,課題依存性の確認が繰り返し来る,task条件が固定され質問も止まる,他者理解読取りのFAQに化ける,社会認知のFAQはtask条件の1問だけ残す,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy限界で繰り返し来る質問をどう最終FAQ化するか,proxy Q&A 1件,proxy限界の確認が繰り返し来る,proxy条件が固定され質問も止まる,創造性測定器のFAQに化ける,創造性のFAQはproxy限界の1問だけ残す,創造性断定の話にしない
3,主観的経験の定量化,対応範囲で繰り返し来る質問をどう最終FAQ化するか,対応Q&A 1件,自己報告対応範囲の確認が繰り返し来る,対応条件が固定され質問も止まる,主観直接読取りのFAQに化ける,主観経験のFAQは対応範囲の1問だけ残す,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,NCC候補条件で繰り返し来る質問をどう最終FAQ化するか,NCC Q&A 1件,候補条件の確認が繰り返し来る,候補差分が固定され質問も止まる,意識本質証明のFAQに化ける,NCCのFAQは候補条件の1問だけ残す,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state境界で繰り返し来る質問をどう最終FAQ化するか,state Q&A 1件,状態境界の確認が繰り返し来る,境界条件が固定され質問も止まる,単一意識尺度のFAQに化ける,state分類のFAQは境界条件の1問だけ残す,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy限界で繰り返し来る質問をどう最終FAQ化するか,IIT proxy Q&A 1件,proxy限界の確認が繰り返し来る,proxy範囲が固定され質問も止まる,理論決着のFAQに化ける,IITのFAQはproxy限界の1問だけ残す,理論決着を語らない
4,Global Workspace Theory の検証,workspace条件で繰り返し来る質問をどう最終FAQ化するか,GWT Q&A 1件,workspace proxy 条件の確認が繰り返し来る,条件差分が固定され質問も止まる,GWT勝敗判定のFAQに化ける,GWTのFAQはworkspace条件の1問だけ残す,理論の勝敗表にしない
4,意識の連続性と同一性,連続性proxyで繰り返し来る質問をどう最終FAQ化するか,連続性proxy Q&A 1件,proxy有効域の確認が繰り返し来る,proxy条件が固定され質問も止まる,人格同一性測定のFAQに化ける,連続性のFAQはproxy条件の1問だけ残す,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,EEG単独の非到達域で繰り返し来る質問をどう最終FAQ化するか,境界条件Q&A 1件,EEG単独の限界範囲への確認が繰り返し来る,境界条件が固定され質問も止まる,mind-upload実証済みのFAQに化ける,理論枠組みのFAQは非到達域の1問だけ残す,実証済みの空気を作らない
